district,male_mean_age_4,male_mean_education_4,male_pct_no_education_4,male_pct_higher_education_4,male_literacy_rate_4,male_urban_share_4,male_mean_wealth_index_4,male_mean_hh_size_4,male_pct_married_4,male_pct_has_mobile_4,male_pct_has_bank_account_4,male_mean_digital_access_4,n_men_4,female_mean_age_4,female_mean_education_4,female_pct_no_education_4,female_literacy_rate_4,female_urban_share_4,female_mean_wealth_index_4,female_mean_hh_size_4,female_mean_children_u5_4,female_pct_married_4,female_pct_breastfeeding_4,female_pct_has_mobile_4,female_mean_digital_access_4,n_women_4,digital_gender_gap_mobile_4,digital_gender_gap_score_4,mean_education_4,mean_age_4,urban_share_4,mean_hh_size_4,mean_wealth_index_4,n_total_4,education_gender_gap_4,literacy_gender_gap_4
kurnool,32.205811,7.2225347,25.428612,31.408432,123.6464,32.93993,262655.1973,4.8421092,66.692474,93.58773,83.863739,1.9298937,513.7918658,30.509094,4.7980647,43.583164,99.072472,31.562557,27752.1493,5.3252988,0.61304069,78.761528,16.23814,23.159626,0.90763712,2471.211136,70.428101,1.0222566,5.2153749,30.80114,32.251244,5.083704,68184.695,2985.0029,2.4244699,24.573929
anantapur,33.625816,7.790812,21.223249,44.82122,130.23485,31.77177,350782.0259,4.1254158,66.110504,94.952049,92.226723,2.0757759,596.7428353,31.622808,5.7204266,38.095058,111.43269,34.521732,34788.72536,4.6824684,0.41428232,76.674179,10.667555,46.692081,0.97102523,2321.746432,48.259968,1.1047506,6.1437578,32.032364,33.146751,4.4039421,99399.805,2918.4893,2.0703855,18.802155
chittoor,34.013336,8.8034182,11.49067,55.744518,162.07869,29.428726,423155.9263,4.2246246,68.296227,95.761993,91.478416,1.8344423,483.5669627,30.963385,7.0237036,26.852539,144.03101,29.563108,38399.0461,4.8931246,0.48336232,75.767776,13.040933,46.254059,0.97270083,2403.356132,49.507935,0.86174142,7.3218102,31.474258,29.495918,4.5588746,102846.8,2886.9231,1.7797146,18.047684
belgaum,33.331348,9.7093906,8.1374578,54.081337,168.74348,21.782906,405943.4171,5.7035151,60.029106,94.75267,93.563774,1.8351666,748.0093491,30.848797,6.9944005,22.784338,145.57111,30.631054,23663.34902,5.8013873,0.57432771,74.973862,13.110746,35.307934,0.94014335,2537.71213,59.444736,0.89502323,7.6124802,31.413961,26.20698,5.7524509,110691.13,3285.7214,2.7149901,23.172379
bagalkot,31.444504,9.8874207,4.8150258,52.488476,159.79626,35.204517,-51624.05406,6.0293207,54.105778,96.894943,92.570755,1.6496148,261.2648362,29.357841,5.8300543,34.51244,120.99096,35.672958,-4259.836874,6.3160954,0.66946101,71.931137,14.245605,18.893646,0.85004604,1054.673609,78.001297,0.79956877,6.6355991,29.772125,35.438736,6.172708,-13663.472,1315.9385,4.0573664,38.805305
bijapur,31.902769,9.0603867,13.965386,55.298012,169.71692,19.974855,-17951.491,5.452765,63.152004,93.305054,91.335068,1.765048,242.7093463,30.669786,6.0737238,35.73016,134.49443,27.882555,-8876.815033,6.0099306,0.61056805,76.199928,13.067918,39.482021,0.9128775,1128.517068,53.823032,0.85217053,6.6023679,30.888027,23.928705,5.731348,-10483.048,1371.2264,2.9866629,35.222488
bidar,31.792238,8.0975237,19.716379,49.485619,156.24599,25.808514,879.5684537,6.0574875,59.295933,96.246689,91.432968,1.8739585,232.9614535,29.326122,7.2540913,25.452427,145.56355,30.425898,1394.561667,5.8533154,0.50228798,66.526154,11.666845,47.140381,0.91459835,986.2192714,49.106308,0.95936012,7.4152546,29.797348,28.117207,5.9554014,1296.1566,1219.1807,0.84343243,10.682434
raichur,30.588263,8.0390501,21.042364,49.980091,137.14711,28.269053,-51309.7892,6.1493192,61.395325,93.027588,94.260223,1.7081552,281.1539215,29.557775,4.7460694,49.557201,93.889008,33.022003,-2408.548244,5.6942525,0.60573864,71.629997,15.753677,20.038431,0.86089998,1010.872057,72.989159,0.84725517,5.4626451,29.782017,30.645527,5.9217858,-13049.802,1292.026,3.2929807,43.258102
koppal,32.021805,7.8711009,17.267786,47.260967,132.89238,20.551285,-62724.17916,5.7790294,60.392284,91.241417,86.258781,1.8214239,205.3451802,30.331123,5.4351668,35.411129,131.19011,19.759552,-5147.852513,5.995132,0.68213338,74.282921,14.622386,33.02063,0.93206173,723.1477242,58.220787,0.88936216,5.973897,30.705034,20.155418,5.8870807,-17881.414,928.49292,2.4359341,1.7022705
gadag,33.307144,8.0067043,15.423923,59.613888,147.46146,38.778965,-45524.72356,5.4487891,60.631073,91.351372,88.016357,1.7453231,167.9743878,29.30982,6.4795322,28.591299,144.06822,42.849957,-12440.31855,5.8533673,0.49604157,69.864197,10.177645,29.721569,0.96298897,618.8214394,61.629803,0.78233409,6.8055706,30.163216,40.814461,5.6510782,-19503.564,786.79584,1.5271721,3.3932343
dharwad,33.733047,8.9033689,7.3372974,58.377045,164.0067,56.564789,503524.4813,5.738862,59.919006,90.78447,93.416359,1.7722423,295.1331699,30.811825,7.7078352,20.139616,145.72299,58.423637,34466.22215,6.2523656,0.60008842,73.8479,12.968026,44.401924,1.0371724,1088.899122,46.382545,0.73506987,7.9627728,31.434752,57.494213,5.9956141,134488.92,1384.0323,1.1955338,18.283707
uttara kannada,33.990116,8.6347332,4.3346992,54.157997,149.8847,21.744425,411001.7238,5.1204491,55.248867,96.975723,93.457047,1.9976795,267.6195095,31.057066,7.8817921,13.888438,169.06131,31.613588,27532.50715,5.6102376,0.41584393,68.557907,8.9439812,56.099575,1.0623704,865.0573906,40.876148,0.93530905,8.0596905,31.750063,26.679007,5.3653431,118135.44,1132.6769,0.75294113,-19.176605
haveri,32.909336,7.3027978,14.916375,58.937412,135.66815,24.327873,44838.60309,5.6195116,60.239769,91.748741,83.214195,1.7630292,221.5352184,30.234581,6.3685899,22.064508,138.26958,22.531334,-2130.863321,5.5805554,0.55535448,74.292351,11.79639,15.70501,0.90209085,807.1702814,76.043732,0.86093837,6.5697746,30.810598,23.429604,5.6000338,7984.1704,1028.7054,0.93420792,-2.6014252
bellary,31.673067,7.1499233,19.754438,51.848942,152.83295,35.136971,-64813.35548,5.3910465,63.055862,88.668182,86.69886,1.9983772,333.4518131,29.865549,5.1852589,41.752373,106.4689,41.748508,12461.4076,6.1303716,0.73837394,74.348984,16.043087,22.780287,0.9211989,1403.122108,65.887894,1.0771782,5.5625081,30.212624,38.442741,5.7607088,-2376.665,1736.574,1.9646645,46.364044
chitradurga,34.076916,9.4032335,8.956954,56.081997,161.61578,22.194233,269677.9068,4.8750253,71.293243,91.935356,95.416847,2.1946046,190.8379384,30.600569,7.3685856,21.728174,147.46825,27.012699,4480.615486,5.2783446,0.34481364,69.642166,7.3357949,40.664742,0.96933436,1034.746623,51.270615,1.2252703,7.6854043,31.141876,24.603466,5.076685,45774.953,1225.5846,2.0346479,14.147537
davanagere,31.72821,9.3666248,9.2505331,56.04298,151.03719,33.015499,136181.4886,4.8996143,55.084332,83.405312,89.783958,1.8561274,254.5803658,30.571817,7.3006778,23.77408,143.82603,37.865673,31947.81554,5.5337811,0.56053656,72.312706,12.461712,32.027306,0.96242833,1100.357898,51.378006,0.89369905,7.6888499,30.789093,35.440586,5.2166977,51532.359,1354.9382,2.0659471,7.2111511
shimoga,34.907566,8.4066858,9.325737,64.251945,148.78412,30.437147,465910.9821,4.8705659,62.950569,96.084488,90.102798,1.770637,243.6342173,31.518597,7.5818863,19.63781,158.77055,35.083008,34503.15815,5.0395265,0.39512971,71.194916,7.3235049,42.149323,1.0614547,976.9130585,53.935165,0.70918238,7.7465253,32.195072,32.760078,4.9550462,120616.75,1220.5472,0.82479954,-9.9864349
udupi,35.57032,8.5918064,7.6932883,60.232967,172.97627,28.476248,441407.521,5.1768308,58.919991,96.621735,96.628151,1.8886322,152.4207459,31.706095,8.7262278,9.2439861,171.90773,26.089441,47035.85911,5.6495361,0.40084261,66.971024,10.480581,69.227585,1.2318127,677.4364906,27.39415,0.65681946,8.7015381,32.41584,27.282845,5.4131832,119470.52,829.85724,-0.13442135,1.0685425
chikmagalur,35.856133,8.7000532,6.9459081,61.530823,160.74921,20.925867,416509.715,4.2217097,66.424019,91.62075,87.505867,1.9389129,149.1336134,32.159187,7.1341381,21.373949,137.92052,19.562111,17569.28072,4.7142496,0.3968156,74.470726,7.5309143,46.914589,1.0844964,603.9004538,44.706161,0.85441649,7.4442577,32.891342,20.243988,4.4679794,96576.898,753.03406,1.5659151,22.82869
