district,m_pct_any_dv_4,f_pct_any_beat_4,gap_any_dv_4,avg_any_dv_4,m_mean_dv_count_4,f_mean_beat_count_4,gap_dv_count_4,m_pct_beat_goout_4,m_pct_beat_neglect_4,m_pct_beat_argue_4,m_pct_beat_refusesex_4,m_pct_beat_burnfood_4,m_pct_dv_unfaithful_4,m_pct_dv_disrespect_4,m_pct_father_beat_mother_4,m_pct_force_sex_right_4,m_pct_any_dv_4,m_mean_dv_count_4,f_pct_beat_goout_4,f_pct_beat_neglect_4,f_pct_beat_argue_4,f_pct_beat_refusesex_4,f_pct_beat_burnfood_4,f_pct_any_beat_4,f_mean_beat_count_4,f_n_dv_4,gap_father_beat_mother_4,female_pct_breastfeeding_4
udhampur,51.969574,23.43092,28.538654,37.700249,1.4177421,0.89247739,0.52526474,11.409396,13.422818,16.107382,9.333333,14.7651,26.845636,33.557049,4.9295774,14.583333,52,1.4333333,16.533333,19.94681,20.744682,13.672922,14.133332,23.670214,0.84840423,75.66914003,-4.375628,17.589149
reasi,73.902008,27.137726,46.764282,50.519867,2.8482857,0.56570655,2.2825792,57.971012,32.857143,29.285713,18.571428,22.142857,40.714283,57.14286,15.94203,14.38849,74.285713,2.8785715,6.818182,14.647887,8.474577,9.6045198,7.042254,23.033709,0.46348315,45.34674907,8.8401794,15.747486
jammu,29.392389,20.632811,8.7595787,25.0126,1.0011909,0.59105545,0.41013545,11.200001,13.6,17.6,7.1999998,4.8000002,21.138212,19.512194,5.6451612,4.8387094,31.200001,1.048,12.542373,12.881356,15.753424,8.5910654,7.4576273,19.661016,0.56949151,197.4791582,-1.1372538,11.210781
samba,45.99641,31.10154,14.894871,38.548973,1.6983958,0.83589876,0.86249709,22,19.333332,17.333334,13.333334,7.333333,38.095238,26.666668,8.333334,2.0134227,43.333332,1.5333333,18.888889,20.955883,18.382353,9.848485,14.855072,30.7971,0.81521738,34.51709106,2.5858884,14.66953
chamba,28.633585,13.711831,14.921754,21.172709,0.50755423,0.36592442,0.14162982,0.92592591,7.4074073,6.4220181,1.8518518,0.92592591,5.5555558,14.678899,10.891088,4.6296296,28.440369,0.52293581,8.9494162,10.505836,9.8039217,2.3529413,7.03125,15.175097,0.385214,50.44510603,7.7912436,12.126133
kangra,37.421272,6.2575645,31.163708,21.839418,0.50838655,0.17242955,0.33595699,2.5210085,3.3613448,2.5210085,0.83333337,1.6666667,3.3613448,5.9829059,9.0090084,22.807016,36.065571,0.49180329,3.1872511,3.2,2.4193547,2.4096384,2,5.5776892,0.13147411,152.254624,8.5882273,11.2214
lahul & spiti,12.233843,12.166571,0.067272186,12.200207,0.25235409,0.32304201,-0.07068792,1.8018018,1.7857144,3.6036036,1.8018018,0.9009009,1.8018018,2.7272727,4.6296296,5.3571429,11.504425,0.23893805,8.333334,10.714286,8.4337349,4.8484845,8.383234,14.285715,0.40476191,1.961476995,1.3680155,9.4668369
kullu,20.686275,13.010677,7.6755981,16.848476,0.47443441,0.41088131,0.063553095,5.46875,7.03125,4.7244096,3.125,3.90625,6.2992125,7.8740158,3.125,10.23622,21.875,0.515625,9.2250919,11.07011,9.2592592,4.1044774,4.8148146,14.760147,0.38376385,45.4806124,-7.355813,9.1434374
mandi,23.199692,27.560286,-4.3605938,25.37999,0.4928793,0.66467339,-0.17179409,4.4642859,8.0357141,10.714286,2.6785715,1.8018018,6.3063064,10.909091,6.9306931,3.6036036,25.892857,0.54464287,14.285715,20.816326,16.32653,7.7551022,8.9430895,26.829269,0.6788618,103.7838408,-2.9489655,10.833271
hamirpur,39.225597,20.171074,19.054523,29.698336,0.75351793,0.36575556,0.38776237,8.0459776,6.9767447,6.9767447,2.3529413,5.7471266,8.0459776,17.241379,10.588236,11.904762,39.08046,0.77011496,5.1502147,10.300429,7.7253222,2.5974026,7.6923079,18.803419,0.33333334,47.60513255,6.4598789,9.8851967
una,26.499372,16.672586,9.826786,21.585979,0.51073378,0.27454722,0.23618656,5,7,5,3,0,8.0808077,10.891088,4.0404038,3.0612245,23.300972,0.44660193,8.2644625,10.041842,10.084034,1.6736401,5.8333335,20.247932,0.35537189,58.73797369,-0.44058657,12.610843
bilaspur,30.222919,17.882427,12.340492,24.052673,0.90561843,0.44265059,0.46296784,12.38938,14.91228,15.178572,5.3571429,7.0175438,13.793103,15.517241,3.4482758,2.6086955,29.914532,0.88034189,7.5221243,11.504425,10.666667,5.7522125,3.5398231,16.299559,0.38766521,36.53698573,-0.0356884,12.771203
solan,16.351667,22.920284,-6.5686169,19.635975,0.28672668,0.65730852,-0.37058184,2.0979021,2.8571429,6.2937064,0.69444448,0.69930071,4.9295774,3.5714288,2.8368793,4.2553191,15.540541,0.27027026,9.6428576,16.607773,16.370108,6.8345323,9.1872787,22.183098,0.5809859,70.47967824,-6.6617298,9.4343433
sirmaur,17.971628,15.116048,2.8555803,16.543839,0.3685008,0.34376842,0.024732381,5.4216871,4.191617,4.7904196,2.4390242,1.8072288,3.6585364,6.666667,6.060606,3.0120482,17.964073,0.37724552,8.8135595,13.175675,9.9315071,3.4364262,5.4237289,16.835018,0.4040404,55.65168987,-1.2546549,10.295394
shimla,12.954105,10.675457,2.2786484,11.814781,0.2510207,0.21203537,0.038985327,0.79365087,2.3809524,2.3809524,3.1746035,2.3809524,2.3809524,4.7619047,2.4590163,7.1999998,14.285715,0.27777779,9.4339628,14.150943,10.900474,2.8846154,4.7393365,17.452829,0.41981131,73.22225004,-1.8922768,7.988883
kinnaur,28.080597,6.4563355,21.624262,17.268467,0.52612537,0.13432163,0.39180374,5.7142859,4.3165469,6.4285717,2.173913,2.1582735,6.4748197,6.4285717,16.428572,3.6231883,28.169016,0.52816904,3.8674035,6.0439563,3.2967036,0.54945058,2.1978023,7.1428576,0.15934066,6.640143994,10.107224,8.6005907
35,,9.7335873,,,,0.21346273,,,,,,,,,,,,,5.1612902,6.4516125,9.6774187,3.8709679,3.8709679,12.903225,0.29032257,135.3987138,,
kapurthala,75.973457,11.735416,64.238037,43.854439,1.5026655,0.29984432,1.2028213,17.218544,13.333334,14.7651,2.7027028,3.97351,8.7248325,22.147652,4.6052632,62.162163,73.202614,1.4575163,4.8611112,6.9444447,9.0277777,2.7777779,6.9444447,12.5,0.30555555,43.11802028,-0.37434721,6.9590659
