district,Beating justified: wife goes out, Beating justified: wife neglects children,Beating justified: wife argues with husband,Beating justified: wife refuses sex,Beating justified: wife burns food,Justifies DV: wife unfaithful,Justifies DV: wife disrespect,Respondent's father ever beat mother,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,mv171a,mv171b,sm129,sm332b,sm630a,sm630b,sm630c,sm630d,sm630e,sm630f,sm630g,sm630h,sm630i,n_obs_men,Beating justified: wife goes out_f,Beating justified: neglects children_f,Beating justified: argues with husband_f,Beating justified: refuses sex_f,Beating justified: burns food_f, Justifies DV: wife unfaithful_f,Justifies DV: wife disrespect_f,Father ever beat mother,m34_1,m34_2,m34_3,m34_4,m34_5,m34_6,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m38_1,m38_2,m38_3,m38_4,m38_5,m38_6,m39a_1,m39a_2,m39a_3,m39a_4,m39a_5,m39a_6,women_mobile_own,women_mobile_financial,v410,v410a,v411,v411a,v412,v412a,v412b,v412c,v413,v414a,v414b,v414c,v414d,v414e,v414f,v414g,v414h,v414i,v414j,v414k,v414l,v414m,v414n,v414o,v414p,v414q,v414r,v414s,v414t,v414u,v414v,v414w,s726a,s726b,s726c,s726d,s726e,s726f,s726g,s726h,s726i,n_obs_women,_merge,digital_gap_ownership,digital_gap_financial,digital_gap_ownership2,digital_gap_financial2
koraput,0.089839041,0.11574555,0.11205731,0.029535914,0.022042667,0.037160568,0.16770242,0.23133288,0.73125345,0.19171172,0.73125345,0.19171172,1.2218468,,0.40728226,0.49532002,2.3087406,1.311453,1.1042566,2.7587161,2.0905161,2.3255692,2.2232172,1.7266411,2.6444645,51.86137316,0.39382583,0.510611,0.45589378,0.34846449,0.41247004,0.52959192,0.65519434,0.8410843,30.126488,,,,,,79.942513,94,,,,,0.071782507,0.042706557,0,,,,0.6634298,,,,,,0.72599977,,0.10739104,,0.10740788,0.043001644,,0.098701224,,0.035052907,0.216498,0.026329774,,,,0.53093666,0.25622132,0.08856941,,0.17667282,0.29588324,0.2759251,0.17991376,0.012643879,0.008730027,0.02252809,0.038508546,,,0.1870015,0.019312985,,0,,1.6964762,1.7933179,1.6786823,2.4908807,2.2487845,2.3690634,2.5158279,1.6643004,1.9384866,129.7045163,Matched (3),0.005253673,,0.005253673,
bundi,0.059190504,0.077249028,0.1341337,0.017882336,0.026541878,0.13498014,0.28453228,0.19951749,0.9308964,0.19238737,0.9308964,0.19238737,1.6609354,,0.55364513,1,1.5861678,2.0383937,2.0563164,2.495014,0.68616325,0.53253895,0.56245673,2.4975476,2.5552347,48.19342329,0.21141714,0.30479011,0.26049161,0.25774983,0.19180843,0.35011753,0.34873292,0.72028196,84.411728,,,,,,68.162506,94,,,,,0.11456062,0.1561708,0,,,,0.49011016,1,,,,,0.92586601,,0.097782768,,0.34566486,0.084559068,,0.044233724,,0.045151051,0.095802076,0,,,,0.43981236,0.097458638,0,,0.051776346,0.039099377,0.10804987,0.09378323,0,0,0.008018234,0.024032565,,,0.028833313,0,,0.12688614,,1.7323378,2.1981387,2.7601433,2.6365833,0.76729721,0.63479537,0.62911671,2.7436459,2.6798198,87.296386,Matched (3),0.005030394,,0.005030394,
jehanabad,0.37116843,0.24087845,0.25922626,0.13731958,0.18528497,0.6197952,0.41089365,0.60970128,0.85583687,0.13007678,0.85583687,0.13007678,0.70987248,,0.23662417,0.5057807,1.7256894,1.6510351,1.9980078,2.6436307,2.4286761,2.3682022,2.4382896,2.3851755,2.5547352,112.7078913,0.25791267,0.2251658,0.2721076,0.15509717,0.19435702,0.20386147,0.26076597,0.83561277,57.939781,,,,,,68.117706,94,94,,,,0.11995545,0.14350258,0,,,,0.65247595,,,,,,0.85259771,,0.064446166,,0.53303868,0.026943332,,0.067994021,,0.029925466,0.22555517,0.056054268,,,,0.63213956,0.19429938,0.07955043,,0.20358643,0.21337852,0.19747901,0.15522525,0.06710019,0.023801003,0.18981849,0.099297449,,,0.23685785,0.037776578,,0.04400203,,1.8766614,1.4196951,1.9711918,2.7649627,2.0081129,2.0425453,2.0838881,2.502733,2.2161,83.47216165,Matched (3),0.003239155,,0.003239155,
garhwa,0.15537673,0.12476067,0.12294656,0.091710933,0.10982652,0.13244735,0.16866633,0.74773198,0.80504584,0.26011124,0.80504584,0.26011124,1.3285798,,0.44285995,0,1.8498524,1.3624996,1.1477267,2.3144345,2.0891931,2.2531502,2.2607262,2.2463691,2.2501392,46.22858874,0.29527524,0.41804156,0.31390202,0.39140496,0.2917327,0.4448342,0.27811587,0.57738829,92.444473,,,,,,79.901146,94,,,,,0.058973342,0.049822688,0,,,,0.68918794,1,,,,,0.80254328,,0.017327784,,0.20462854,0.022398828,,0.064041667,,0.042813469,0.15802704,0.070521526,,,,0.67111981,0.31158793,0.11438812,,0.29156277,0.20599948,0.1079383,0.16954155,0.084751934,0.04030358,0.13720836,0.043615952,,,0.15752146,0.024515962,,0.017752921,,2.1131382,1.8499656,2.083221,2.5533929,2.2262118,2.1806252,2.2167456,2.6716266,1.7457741,105.232339,Matched (3),0.002502561,,0.002502561,
uttar bastar kanker,0.15668027,0.14749989,0.41414562,0.12037224,0.15354054,0.43562675,0.74774373,0.62372828,0.78206414,0.2224974,0.78206414,0.2224974,1.0251998,,0.34173325,1,2.3146009,1.7694111,1.3088173,2.6724541,2.4328461,2.2915595,2.2912803,2.7195816,2.5595999,29.90457664,0.081365503,0.13750288,0.14056386,0.1246637,0.082850963,0.22048989,0.31391349,0.53053164,62.158665,,,,,,72.313766,94,94,,,,0.091417581,0.053863615,0,,,,0.64374679,,,,,,0.78012609,,0.081069529,,0.16320707,0.059228655,,0.084626086,,0.1147303,0.12429789,0.029042648,,,,0.58653599,0.087138444,0.086925775,,0.11814496,0.21234027,0.1585045,0.15514369,0.0162916,0.00838487,0.060929131,0.022357836,,,0.17843278,0.021135919,,0.008177402,,2.1612146,1.7701521,1.3778005,2.5397274,2.138366,2.1075339,2.2149277,2.6715851,2.2607276,75.22992578,Matched (3),0.001938045,,0.001938045,
aligarh,0.35260153,0.37357685,0.43476927,0.40758902,0.42345497,0.58592802,0.54881728,0.7320115,0.89990103,0.29882592,0.89990103,0.29882592,1.8173267,,0.60577554,1,1.3698825,1.6011491,1.5832214,2.2614291,1.545581,1.1211903,1.225246,2.0138037,2.5657337,134.6263062,0.21931934,0.25728709,0.26314059,0.19122505,0.17970201,0.22627772,0.27874452,0.36022416,106.44038,,,,,,64.861763,94,94,94,,,0.30836856,0.23946041,0.17373361,0,,,0.61039162,0,,,,,0.90083808,,0.081211276,,0.57885164,0.039267678,,0.035034407,,0.038488511,0.15047219,0.001582751,,,,0.58454627,0.21293785,0.018459616,,0.10415222,0.069332719,0.019180482,0.18356624,0.004765681,0,0.046611659,0.022395145,,,0.14982586,0.002988355,,0.072856486,,1.7286093,2.0995119,2.4886723,2.630435,1.2300481,0.7790333,0.99516821,2.5189066,2.614063,312.2539734,Matched (3),-0.000937045,,-0.000937045,
east khasi hills,1.066504,1.3487837,1.2357122,1.1288413,1.0431617,1.3777986,1.355105,0.794801,0.85406429,0.11754255,0.85406429,0.11754255,1.1858402,,0.39528006,0.85308444,1.7407739,2.1919572,1.7465707,2.3589094,2.2170231,2.3558087,2.1941469,2.2592766,2.1737092,98.04478693,0.52103198,0.6749984,0.63038498,0.73564672,0.40190706,0.64363205,0.66158855,1.042899,54.119976,,,,,,61.343884,94,94,,,,0.30804858,0.16715139,0.093918152,,,,0.72055262,1,,,,,0.85504061,,0.40012723,,0.2408852,0.14114277,,0.15878177,,0.40524337,0.25111932,0.08690609,,,,0.55011195,0.34884602,0.34969512,,0.45510939,0.32396823,0.30368531,0.3548418,0.11955608,0.11086614,0.20466901,0.10833079,,,0.38161558,0.13858978,,0.036727525,,1.4165841,1.8370513,1.3699448,2.0663624,1.9855145,2.1794932,2.0372288,1.7613785,2.0702138,69.722168,Matched (3),-0.000976324,,-0.000976324,
kaimur (bhabua),0.087425373,0.083234876,0.1248773,0.12166288,0.070771001,0.17148247,0.12105354,1.0252361,0.86730868,0.10932591,0.86730868,0.10932591,1.2782221,,0.42607403,0,1.7415712,1.3918332,1.5640906,2.6181586,2.3325839,2.3769388,2.4468343,2.3380067,2.5557756,152.6218645,0.36175692,0.47823387,0.44450033,0.22091384,0.38954404,0.35457236,0.5224036,0.45285955,74.611755,,,,,,74.152725,94,94,94,,,0.21338259,0.16582555,0.07935819,0,0,0,0.62566042,,,,,,0.87054777,,0.044018734,,0.52290511,0.038996868,,0.079520404,,0.070428886,0.119155,0.003853564,,,,0.56029063,0.12437138,0.046320751,,0.086979613,0.15293844,0.15726683,0.12638973,0.01145823,0.00490617,0.060231656,0.059681084,,,0.098587513,0.008694887,,0.030737635,,2.0998862,1.6341935,2.6425672,2.7717466,2.222584,2.1549008,2.1642261,2.535989,2.2210691,133.8709959,Matched (3),-0.003239095,,-0.003239095,
shahdol,0.092538849,0.10029155,0.015682964,0.065879203,0,0.06256754,0.1551064,0.82991195,0.74573553,0.31430659,0.74573553,0.31430659,1.2044979,,0.40149933,0.51791215,2.2760906,1.6844273,1.4406685,2.5824366,2.1160789,2.0815582,2.0635817,2.355428,2.0584598,46.28283265,0.4350909,0.43569425,0.56414914,0.40444592,0.36373776,0.71280122,0.59244996,0.80783433,56.408821,,,,,,72.906013,94,94,,,,0.12144895,0.081162237,0.31918177,,,,0.67029798,,,,,,0.75012147,,0.1044706,,0.19529551,0,,0.037410691,,0.13531405,0.26134655,0.010170386,,,,0.58142799,0.23702827,0.0356315,,0.14511637,0.32273868,0.16555142,0.18926455,0.019617859,0.017079812,0.12797754,0.036532685,,,0.15588447,0,,0.053655565,,1.9378551,1.5200282,1.6712664,2.514497,1.445933,1.3907211,1.4723639,2.2632439,1.4035888,108.6717666,Matched (3),-0.004385948,,-0.004385948,
hoshangabad,0.25994962,0.30254117,0.25870872,0.44566119,0.12883843,0.40249339,0.30432913,2.2558064,0.78014004,0.18123133,0.78014004,0.18123133,1.2679125,,0.42263749,0.37206432,1.5921185,1.4979415,1.5336369,2.2664962,1.5603824,1.2285242,1.3221586,2.0263681,2.0102534,52.48056957,0.25640094,0.21346779,0.2584509,0.15908295,0.17982134,0.37134436,0.43817186,0.18405657,68.266563,,,,,,65.884819,94,,94,,,0.11435911,0.11972323,0.039397653,,,,0.47555572,0,,,,,0.78480917,,0.11863666,,0.27805328,0.035116456,,0.042769272,,0.090801999,0.10843334,0.011021101,,,,0.43998516,0.018040603,0.033160415,,0.019707015,0.083466426,0.099284351,0.075094648,0.015403463,0.012433533,0.018479723,0.022989661,,,0.040215321,0.003781163,,0.023392577,,1.6701353,1.4119653,1.402905,2.2232518,1.0417655,0.91295385,0.94661325,2.383265,2.3911064,118.8274763,Matched (3),-0.00466913,,-0.00466913,
