district,Beating justified: wife goes out, Beating justified: wife neglects children,Beating justified: wife argues with husband,Beating justified: wife refuses sex,Beating justified: wife burns food,Justifies DV: wife unfaithful,Justifies DV: wife disrespect,Respondent's father ever beat mother,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,mv171a,mv171b,sm129,sm332b,sm630a,sm630b,sm630c,sm630d,sm630e,sm630f,sm630g,sm630h,sm630i,n_obs_men,Beating justified: wife goes out_f,Beating justified: neglects children_f,Beating justified: argues with husband_f,Beating justified: refuses sex_f,Beating justified: burns food_f, Justifies DV: wife unfaithful_f,Justifies DV: wife disrespect_f,Father ever beat mother,m34_1,m34_2,m34_3,m34_4,m34_5,m34_6,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m38_1,m38_2,m38_3,m38_4,m38_5,m38_6,m39a_1,m39a_2,m39a_3,m39a_4,m39a_5,m39a_6,women_mobile_own,women_mobile_financial,v410,v410a,v411,v411a,v412,v412a,v412b,v412c,v413,v414a,v414b,v414c,v414d,v414e,v414f,v414g,v414h,v414i,v414j,v414k,v414l,v414m,v414n,v414o,v414p,v414q,v414r,v414s,v414t,v414u,v414v,v414w,s726a,s726b,s726c,s726d,s726e,s726f,s726g,s726h,s726i,n_obs_women,_merge,digital_gap_ownership,digital_gap_financial,digital_gap_ownership2,digital_gap_financial2
rajnandgaon,0.042846955,0.028223364,0.22115271,0.15728047,0.067463636,0.13396536,0.27043802,0.3063024,0.86189896,0.2248679,0.86189896,0.2248679,1.4084675,,0.46948916,1,2.3925295,1.5713609,1.4014529,2.5735934,2.1634104,2.1457622,2.1518104,2.6594548,2.5846431,70.70369178,0.01328565,0.083707847,0.13290347,0.13898301,0.04659912,0.12387716,0.25338253,0.37820452,32.958363,,,,,,77.911728,94,94,,,,0.049460739,0.049931947,0.15715961,0,,,0.31950539,,,,,,0.36975551,,0.060261089,,0.082985818,0.031442005,,0.031003674,,0.05495394,0.086457007,0,,,,0.29526752,0.13153076,0.040294755,,0.13033311,0.20026249,0.061317563,0.089301035,0,0,0.093526952,0.015460993,,,0.084595084,0.002777927,,0.017649679,,2.0717206,1.4475456,1.2952461,2.5341525,2.0508959,1.989367,1.9863204,2.3271234,2.0973747,167.6681273,Matched (3),0.49214345,,0.49214345,
rajouri,0.055092711,0.092533961,0.10238303,0.028990379,0.057504337,0.27037397,0.3055101,0.42304435,0.98563212,0.42828709,0.98563212,0.42828709,2.004209,,0.66806966,1,1.6308019,1.9446517,1.8867868,2.195179,1.9635974,1.8434252,2.1639359,2.0892661,1.9917516,91.59135604,0.39673012,0.45331737,0.43879703,0.64605457,0.24865903,0.52637726,0.656829,0.72971439,47.645363,,,,,,71.226273,94,94,,,,0.26963416,0.38707837,0.87147027,,,,0.58930266,1,,,,,0.52272487,,0.30877751,,0.4850587,0.14671256,,0.1958731,,0.23205371,0.15278207,0.14960873,,,,0.47203603,0.19064537,0.37884152,,0.20242178,0.39609402,0.2356763,0.42476642,0.11385813,0.11992089,0.27381968,0.2630361,,,0.24195649,0.11705976,,0.17160206,,1.6587908,1.9162955,1.6909311,2.2544043,1.9739408,1.2257694,2.0462737,1.8194038,1.8297918,121.1171516,Matched (3),0.46290725,,0.46290725,
mandsaur,0.062914953,0.057400141,0.025978183,0,0.058968976,0.17990541,0.22763953,0.3072803,0.92203051,0.27226207,0.92203051,0.27226207,1.5049492,,0.50164974,,1.502051,1.8862636,1.8958596,2.594348,0.98125738,0.84030002,0.85059834,2.3799813,1.6859393,68.91910237,0.34283301,0.45520827,0.45452726,0.36881474,0.30982003,0.40127432,0.59148192,0.2228526,71.568871,,,,,,71.5784,94,94,,,,0.05013198,0.12070197,0.31763381,0,,,0.4460918,,,,,,0.50878292,,0.07654012,,0.21976027,0.076951213,,0.046727173,,0.12432248,0.23606224,0,,,,0.32588193,0.029131258,0.011656972,,0.091614202,0.071824312,0.1048601,0.10649687,0.01260653,0,0.068796709,0.063667081,,,0.092835985,0,,0.057728834,,1.4240612,1.6689142,1.5068917,2.3654225,0.51663619,0.4463478,0.44918978,2.3698626,1.7168006,163.0778166,Matched (3),0.41324759,,0.41324759,
jammu,0.10481708,0.13258481,0.16802518,0.071329661,0.049054708,0.32553467,0.30067223,0.11137799,0.97664279,0.59643912,0.97664279,0.59643912,2.4417195,,0.81390649,1,1.2379229,1.3671051,1.2598981,1.6999478,1.8342937,1.6998718,1.4462547,2.2107704,2.1880164,173.9677838,0.13244693,0.13680346,0.24969503,0.19470994,0.073285058,0.25889719,0.2791695,0.39824101,61.537975,,,,,,60.554905,94,,,,,0.42717773,0.36389226,0,,,,0.55951148,,,,,,0.56778455,,0.35564467,,0.42292246,0.089323416,,0.22756085,,0.32313016,0.19299343,0.1093336,,,,0.45981696,0.25340697,0.15181875,,0.27482802,0.45116237,0.22857836,0.34593561,0.11295295,0,0.23694378,0.29545796,,,0.29090363,0.081433006,,0.038318682,,1.4311706,1.4485254,1.1840489,1.6951632,0.91124433,0.86888295,0.99169868,2.2387748,2.4071443,269.4374574,Matched (3),0.40885824,,0.40885824,
kamrup,0.23194425,0.27013224,0.2280291,0.25968346,0.098168112,0.25067627,0.42740268,0.55315262,0.94996488,0.16817659,0.94996488,0.16817659,1.0062252,,0.33540842,,2.103008,1.3308988,1.8310558,2.2488284,2.0461955,1.9725745,2.2575967,1.6889957,2.3692057,218.45469,0.45005271,0.75181818,0.81487679,0.83874923,0.65017229,0.75522023,0.89861757,1.9835656,38.209869,,,,,,84.683525,94,,,,,0.24029651,0.15584135,1,,,,0.5772543,,,,,,0.54149741,,0.082023479,,0.24110556,0.10987853,,0.19263333,,0.024769289,0.22441135,0.1066889,,,,0.38740551,0.12406043,0.16490719,,0.075526021,0.26075074,0.11510448,0.19866191,0.09081012,0.048023157,0.19016783,0.066133492,,,0.17405586,0.040520683,,0.016358748,,1.9089022,1.3538567,1.4541439,2.131917,2.0453711,1.9485031,2.2584321,1.6816181,1.6366812,141.4019398,Matched (3),0.40846747,,0.40846747,
alappuzha,0.37821221,0.57676262,0.24204506,0.38868362,0.27592206,0.69902068,0.54644525,0.039500274,1,0.31279236,1,0.31279236,2.3573496,,0.78578323,,1.3656759,1.791414,2.0498707,1.8882651,2.2046692,1.444521,2.4121525,2.0753002,2.0180421,257.3652574,0.38759235,0.59731227,0.4753117,0.42065763,0.26845181,0.47896409,0.5446558,0.18784192,52.826839,,,,,,61.033939,94,,,,,0.12549476,0.11686184,,,,,0.59448797,,,,,,0.59637654,,0.44088587,,0.28187597,0.25871176,,0.12574595,,0.035338264,0.21012762,0.016220501,,,,0.46806377,0.093108952,0.06767235,,0.13421386,0.12678879,0.32109934,0.20119996,0,0.050686955,0.084648043,0.051371917,,,0.20018362,0,,0.050087076,,1.3880434,1.8809644,2.1998634,1.8676534,2.015413,1.2411209,2.4057817,2.194664,2.2443073,261.3506479,Matched (3),0.40362346,,0.40362346,
shimoga,0.26721969,0.35071287,0.38681105,0.22657053,0.21286337,0.56750339,0.55667013,0.36416012,0.96084487,0.38644409,0.96084487,0.38644409,1.6269374,,0.54231244,,1.1940089,1.1210262,1.1550673,1.7749896,1.7379799,1.9147607,1.7810247,2.3262656,2.4472604,243.6342173,0.94315457,1.1204233,0.96668357,1.1444498,1.0502319,1.0142437,0.9968034,0.37877503,42.780708,,,,,,65.526741,94,,,,,0.10633582,0.098042376,0,,,,0.58196336,,,,,,0.55815268,,0.20171644,,0.37608132,0.23691937,,0.074436992,,0.14973013,0.16019312,0.093453944,,,,0.33911368,0.25517482,0.14847445,,0.26046222,0.34168452,0.20484783,0.29192641,0.073973067,0.10813744,0.13811688,0.16757283,,,0.31157526,0.11505557,,0.10012218,,1.3024765,1.1880122,1.1899372,1.77115,1.7766787,1.8591779,1.8777356,2.0079567,2.1468437,138.3111222,Matched (3),0.4026922,,0.4026922,
dhalai,0.076941736,0.039737985,0.041421682,0.23006749,0.028470434,0.07251855,0.051492561,0.21702851,0.78313118,0.04614722,0.78313118,0.04614722,0.92893851,,0.30964616,0,1.2814913,1.7648199,1.1428461,2.1809275,2.083606,1.847972,2.1013134,1.4992081,1.3575864,54.67257726,0.14283726,0.19296406,0.38492218,0.2127987,0.028438689,0.18567242,0.46424451,1.8833551,53.897141,,,,,,75.637016,94,,,,,0.076398857,0.027838454,0,,,,0.41027796,,,,,,0.38051462,,0.031076813,,0.23604992,0.021058941,,0.020536941,,0.021006323,0.037535872,0.028614283,,,,0.28474194,0.14345276,0.15560414,,0.13196559,0.21568915,0.23099662,0.084684595,0.018795732,0.039094035,0.075774603,0.005491059,,,0.15911652,0,,0,,2.0578811,2.0824845,1.5809932,2.5104606,2.3164899,2.1892905,2.2981746,2.1442056,2.726078,44.3978979,Matched (3),0.40261656,,0.40261656,
haveri,0.30207777,0.47030231,0.44473526,0.41816825,0.29245892,0.5433386,0.65425307,0.70006102,0.91748738,0.16194932,0.91748738,0.16194932,1.2543502,,0.41811672,,1.4626284,1.2928908,1.3008219,2.1472647,2.0660641,1.74278,1.9973125,2.0675437,1.7340447,221.5352184,0.83265972,0.98814082,1.0197113,1.3337365,1.046205,1.111088,1.1699903,0.36169177,35.476574,,,,,,67.528236,94,94,,,,0.14633654,0.11978541,0.43866652,,,,0.50414133,,,,,,0.52408886,,0.24874429,,0.27053449,0.16174233,,0.14591035,,0.24626064,0.21894024,0.039662424,,,,0.25593889,0.0903221,0.12193498,,0.12133894,0.15701622,0.13218792,0.18119314,0.05410352,0.064522035,0.062184077,0.16051832,,,0.25356585,0.057281129,,0.12145481,,1.2374274,1.191052,1.25971,2.0140047,1.5507723,1.5715224,1.5372469,2.1919227,2.16555,130.2532877,Matched (3),0.39339852,,0.39339852,
samba,0.24915135,0.21451829,0.18807325,0.14849204,0.083755597,0.58582032,0.30109382,0.29960009,0.99129134,0.43138465,0.99129134,0.43138465,2.1069059,,0.70230192,1,1.2017452,1.4616854,1.3241076,1.4100367,1.2805814,1.3101627,1.134024,1.6509265,1.8323485,38.7024992,0.32726058,0.28023341,0.26848057,0.4342221,0.15999731,0.39377034,0.33231604,0.32371193,74.665466,,,,,,66.309372,94,,,,,0.47401416,0.35541537,0,,,,0.58948016,1,,,,,0.61292356,,0.29704612,,0.51799041,0.1562496,,0.11832044,,0.33658683,0.18462493,0.050325394,,,,0.50809115,0.23958743,0.11374595,,0.26021948,0.42668495,0.20808025,0.50281191,0.033436779,0.017374555,0.30618647,0.33243492,,,0.3092362,0.008285071,,0.1390706,,1.5396523,1.4382596,1.2595748,1.8995913,0.94002581,0.70941937,0.94084108,2.1873431,2.3503196,48.71039392,Matched (3),0.37836778,,0.37836778,
gurgaon,0.095546007,0.079116195,0.1603407,0.079116195,0.079116195,0.1141635,0.126553,0.33886161,0.95726973,0.59426087,0.95726973,0.59426087,2.6326032,,0.87753439,0.5,1.2807645,1.4888614,1.5528049,2.1593511,1.4562395,0.61779314,1.0074066,2.2207651,2.1475022,49.90927443,0.027890896,0.036729198,0.17674451,0.038156334,0.008174179,0.17266218,0.24506176,0.11917799,89.422073,,,,,,63.653507,94,,,,,0.1321899,0.12268073,0,,,,0.5126735,,,,,,0.59268278,,0.33152452,,0.34070209,0.021697488,,0.066142261,,0.22262351,0.1486012,0.003709298,,,,0.32138133,0.07383091,0.2169484,,0.090950608,0.14816844,0.076376043,0.18559188,0.053379394,0,0.10844124,0.13629568,,,0.067310028,0.003709298,,0.16495135,,1.3205365,1.8873426,1.8421438,2.0646203,0.99531239,0.37089655,0.54681373,2.5011413,2.5829711,134.2116399,Matched (3),0.36458695,,0.36458695,
muzaffarpur,0.023670187,0.0486781,0.084707208,0.049755458,0.057125695,0.17418461,0.1640067,1.3955116,0.97321284,0.15554878,0.97321284,0.15554878,1.269606,,0.42320201,0.7171188,1.6893946,1.3397224,1.560807,2.3956444,2.2120342,2.0810683,2.1482751,2.4581513,2.3269861,512.967145,0.23332369,0.32030717,0.19738284,0.33233666,0.23163436,0.20137778,0.39962676,0.30622318,77.42897,,,,,,72.878586,94,94,,,,0.1185362,0.081003867,0.050267428,0,,,0.53920597,0,,,,,0.60918695,,0.11057434,,0.22139099,0.066958152,,0.073477037,,0.10770759,0.12867764,0.048613999,,,,0.47274101,0.1414668,0.032517053,,0.12215987,0.23060775,0.078889139,0.12295488,0.067657828,0.0313433,0.09266372,0.051178146,,,0.096414849,0.027757442,,0.053124771,,1.9163947,1.5852466,1.3903103,2.6213393,2.1548302,2.3573565,2.3224509,2.5186741,1.9105647,400.1880358,Matched (3),0.36402589,,0.36402589,
chirang,0.33382195,0.45756087,0.46706977,0.25537729,0.24381189,0.58275843,0.5045169,1.0448873,0.90308976,0.17047419,0.90308976,0.17047419,1.1754808,,0.39182693,0.17217864,2.1696508,1.5109458,1.6999029,2.3382769,2.0542371,1.9439001,2.2766392,1.9547528,2.4741986,55.54769987,0.50588799,1.0419371,1.0657575,0.43911445,0.33454725,0.724985,0.84011745,1.2941884,20.02446,,,,,,81.854652,94,,,,,0.21777855,0.27510384,0,,,,0.55430233,,,,,,0.54229254,,0.058009882,,0.13753574,0.025328375,,0.17713712,,0.082116723,0.18300696,0.056469899,,,,0.33127472,0.17771956,0.096609905,,0.10021001,0.21256664,0.044132825,0.11233749,0.04991712,0.03537624,0.16649786,0.030713484,,,0.21596368,0.036337446,,0,,1.929113,1.4678839,1.4222345,2.4202509,2.1925404,2.0963531,2.4637742,1.6659032,1.8809339,40.91452125,Matched (3),0.36079723,,0.36079723,
balrampur,0.32630247,0.27916998,0.45863488,0.16846773,0.24188887,0.35070398,0.72558933,0.51097649,0.87503684,0.2118302,0.87503684,0.2118302,1.2260011,,0.40866706,0.73121589,1.9156164,1.3782589,1.4752322,2.6919639,1.6524484,1.6257824,1.6203678,2.2643371,2.2943609,58.45591161,0.53851718,0.69070774,0.62433517,0.40687194,0.56785876,0.61759037,0.82751292,0.14721511,107.46054,,,,,,72.754593,94,94,94,,,0.10222986,0.093868002,0.10790978,0,,,0.53353089,,,,,,0.51426536,,0.099786304,,0.26659185,0.069567926,,0.055243503,,0.10483037,0.15674639,0.037533566,,,,0.44275898,0.10761948,0.1124284,,0.13609794,0.2441968,0.079971202,0.11173788,0.053744085,0.041657098,0.10178617,0.10492872,,,0.074694522,0.042734094,,0.042614218,,1.7836046,1.3743306,1.5393972,2.5151145,1.6163157,1.6639781,1.6950848,2.2274666,2.1223466,187.9505447,Matched (3),0.36077148,,0.36077148,
jhunjhunun,0.15273947,0.1938913,0.22805542,0.29957178,0.17713772,0.53598022,0.43143421,0.68632895,0.95672154,0.35326332,0.95672154,0.35326332,2.0901246,,0.69670814,1,1.1290654,1.5716226,1.5587577,2.2664163,1.5047146,0.78469634,1.1316808,2.0364377,2.5744627,84.58039504,0.072704338,0.07559143,0.10526026,0.24802998,0.05710125,0.15772596,0.1736238,0.13519995,89.411949,,,,,,56.488392,94,,,,,0.13398319,0.11936341,0.15848328,,,,0.45907164,,,,,,0.60298276,,0.044255909,,0.37090713,0.020471804,,0.05490889,,0.049195539,0.13945732,0,,,,0.40843189,0.069019586,0.066639163,,0.077651009,0.094296224,0.01809592,0.097585872,0,0.060154375,0.077466026,0.037513599,,,0.044852193,0.053669583,,0.13561144,,1.3112129,2.0651705,2.0510936,2.6323276,0.6711995,0.3806456,0.48762256,2.6795232,2.5211782,213.517109,Matched (3),0.35373878,,0.35373878,
cachar,0.51546347,0.67999095,0.77810049,0.83949649,0.61931837,0.72487855,1.0812608,1.2109379,0.89757365,0.26888636,0.89757365,0.26888636,1.3713472,,0.45711571,1,2.1198726,1.5746666,1.3895079,2.1388879,2.1524944,1.9498214,2.3833148,1.9993628,2.0810142,245.0691605,0.61712366,0.68297547,0.64775443,0.53214252,0.56220543,0.50577259,0.84360558,2.3636746,70.96244,,,,,,72.426529,94,94,,,,0.20132281,0.092237942,0.15129986,,,,0.49666128,,,,,,0.54766154,,0.151042,,0.2647233,0.079341702,,0.14438221,,0.12940265,0.32267755,0.081817001,,,,0.33023223,0.16355199,0.11706065,,0.15132678,0.20224355,0.12933722,0.15306176,0.057305492,0.06458649,0.080585867,0.11854829,,,0.16092315,0.065407254,,0.14265279,,1.8116672,1.5652848,1.4287984,2.6537778,2.2472148,2.1353216,2.5807521,1.521098,1.6063133,166.136753,Matched (3),0.34991211,,0.34991211,
hassan,0.333451,0.1998252,0.18836109,0.19707942,0.13926131,0.27223256,0.54904073,0.58792323,0.95195729,0.42413065,0.95195729,0.42413065,1.5801305,,0.52671015,,1.3612897,1.2197721,1.2751467,2.1003613,1.837613,2.0696957,2.1075044,2.346652,2.2514422,228.8798701,0.8289535,0.78261983,0.70743614,0.88731772,0.57595283,0.74583244,0.84942657,0.70894039,52.021687,,,,,,56.197788,94,,,,,0.22346342,0.15398084,,,,,0.558182,,,,,,0.60639578,,0.21064274,,0.38125113,0.033684958,,0.17291451,,0.11717284,0.26378623,0.14011706,,,,0.37969172,0.17525707,0.23534384,,0.2894282,0.34926969,0.2966041,0.30223379,0.15478808,0,0.014092484,0.070742346,,,0.20835005,0.15868856,,0.092503436,,1.2624706,1.1912719,1.1494339,1.8933722,1.7647313,1.9017271,1.9027984,2.2592006,2.2581751,163.9561698,Matched (3),0.3455615,,0.3455615,
krishna,0.10902449,0.55240077,0.31052855,0.1531239,0.089151546,0.49245039,0.38482726,0.51613826,0.96542853,0.41958639,0.96542853,0.41958639,1.3601749,,0.45339164,,1.1801424,1.776889,1.8887162,2.2547872,1.8452482,2.1352062,1.9666947,2.2021649,2.1623032,616.525847,0.79811078,0.96342522,0.79802281,0.47623849,0.33245385,0.62436116,0.86480057,0.28527415,82.301826,,,,,,60.803555,94,94,,,,0.1778492,0.16228986,0,,,,0.71701598,,,,,,0.62310928,,0.071672186,,0.32160482,0.077660672,,0.12035549,,0.046948783,0.091325901,0.016252099,,,,0.65100825,0.082818404,0.17062919,,0.03544572,0.17803322,0.2030465,0.1778935,0,0,0.17502308,0.044700511,,,0.40894386,0,,0.33058405,,1.3864716,1.8622409,2.127116,2.3904669,1.9153525,2.0734007,2.0022643,2.5158651,2.4981887,460.9203953,Matched (3),0.34231925,,0.34231925,
patiala,0.12884828,0.12750061,0.11621232,0.10494851,0.076201729,0.041345511,0.063089855,0.27054724,0.96845835,0.41144067,0.96845835,0.41144067,2.5637569,,0.85458565,1,1.1523204,1.24858,1.2717621,1.9764479,1.4843268,1.0846792,1.5608078,2.3440354,2.3198664,110.3400302,0.21308975,0.23674622,0.25698069,0.1401553,0.27715671,0.1849805,0.30168134,0.38002601,75.046051,,,,,,60.736576,94,94,,,,0.35988522,0.39869392,0,,,,0.62937886,,,,,,0.62893295,,0.24140748,,0.52086806,0.19271836,,0.18354903,,0.097805515,0.26934758,0.008873961,,,,0.47217181,0.18503143,0.086728409,,0.24167521,0.27066338,0.16049215,0.3478975,0.008873961,0,0.077881485,0.1874525,,,0.087735198,0.008873961,,0.20847292,,1.3332143,1.7606741,1.4198626,2.134912,0.69630665,0.22439459,0.47230896,2.5186315,2.6090147,170.2680132,Matched (3),0.3395254,,0.3395254,
maldah,0.24438882,0.21241492,0.28922224,0.18403065,0.0987425,0.21131404,0.25599718,0.56834322,0.88054162,0.13448022,0.88054162,0.13448022,1.0072374,,0.33574581,1,2.1362426,1.565601,1.2060221,2.1693268,1.7934029,1.7681651,2.4259481,2.0166609,2.5571404,487.2486939,0.31683487,0.36496183,0.50375116,0.21712451,0.18641494,0.37447965,0.51845837,0.13627495,66.875587,,,,,,74.138893,94,94,,,,0.11413952,0.075552002,0,,,,0.59418333,1,,,,,0.54188162,,0.043951452,,0.16853787,0.051460795,,0.06564305,,0.019434476,0.13464221,0.12008205,,,,0.4822498,0.22922675,0.16292307,,0.15697294,0.29457349,0.080116764,0.20280901,0.039839499,0.032380491,0.13265628,0.056152374,,,0.24225226,0.037560962,,0.012460532,,1.9960774,1.7172117,1.486419,2.4197178,2.0493898,1.9189107,2.4628918,1.6761134,1.6544621,374.8980491,Matched (3),0.33866,,0.33866,
rewari,0.10834857,0.12163045,0.10776547,0.013689088,0.094165817,0.25025365,0.36648092,0.79742891,0.89091563,0.54986584,0.89091563,0.54986584,2.2072835,,0.73576117,,1.1842073,1.3514572,1.4607028,1.9325875,1.540504,0.91652727,1.3500652,2.0142653,2.1532121,32.62708446,0.28264192,0.23928694,0.23367934,0.21069011,0.17334905,0.26313445,0.40627325,0.27160516,71.754745,,,,,,71.742683,94,94,,,,0.20568796,0.13484018,0,,,,0.50058877,,,,,,0.55798632,,0.21254912,,0.39794788,0.20943144,,0.29204154,,0.17175394,0.26197222,0.007674546,,,,0.47324663,0.29563981,0.015578803,,0.23417477,0.28044978,0.12684107,0.22329271,0.030460214,0.020846302,0.036484003,0.055854801,,,0.054176964,0.007674546,,0.31115386,,1.2312776,1.9558064,1.9645777,2.254638,0.49044532,0.14645343,0.23007831,2.1212239,2.0075998,93.84796003,Matched (3),0.33292931,,0.33292931,
sri potti sriramulu nellore,0.24842809,0.5442031,0.41583481,0.17880623,0.1622725,0.35564032,0.43678743,0.67682374,0.87847286,0.36119547,0.87847286,0.36119547,1.3126607,,0.43755355,,1.1514155,1.5421183,1.8060211,2.1548367,2.0218675,2.3308845,2.1947961,2.3298175,2.4559238,410.5550227,0.51733452,0.76043892,0.44701052,0.5717926,0.27644414,0.40311658,0.74041426,0.87720251,91.679703,,,,,,65.652534,94,,,,,0.22018319,0.18732628,0,,,,0.49755639,,,,,,0.5463993,,0.1902436,,0.21428324,0.079528548,,0.20119058,,0.019922307,0.033398341,0.02126167,,,,0.39776671,0.022567159,0.10852899,,0.022438105,0.073733278,0.13468345,0.1097334,0,0.018894147,0.073031992,0.032901239,,,0.13998641,0.010756978,,0.16286106,,1.4358736,1.8711495,2.2244709,2.5090067,2.1493661,2.3213747,2.2598171,2.4789929,2.5734284,376.5209857,Matched (3),0.33207357,,0.33207357,
hamirpur,0.14387974,0.13186964,0.15473881,0.12466221,0.13378736,0.12888588,0.29511523,0.17372775,0.93210059,0.10470331,0.93210059,0.10470331,1.5314144,,0.51047146,0.4957076,1.8571988,1.5527542,1.6910743,2.2887192,1.7459556,1.4285269,1.3645784,2.4129736,2.2071729,50.52100328,0.33852684,0.23872662,0.25575152,0.096234597,0.20042595,0.26355118,0.27200675,0.43931744,77.281097,,,,,,65.029343,94,94,,,,0.16670918,0.24554323,0,,,,0.40427902,,,,,,0.60020989,,0.19174483,,0.33040869,0.02015746,,0.052141711,,0.22676456,0.15447174,0.009576299,,,,0.34424782,0.13243088,0.018505346,,0.10334376,0.047470495,0.029117387,0.02731519,0,0.018722218,0.057984143,0.03936654,,,0.019751893,0.009875947,,0.049316466,,1.7789445,1.9594215,2.1474457,2.5302474,1.2222936,0.81625772,0.86628699,2.2913258,2.3483207,84.08748478,Matched (3),0.3318907,,0.3318907,
sagar,0.21041428,0.19897048,0.3178601,0.1791279,0.18533343,0.26996475,0.26308787,0.15718257,0.90118062,0.17967202,0.90118062,0.17967202,1.5504628,,0.51682091,0.17566676,1.5347615,1.4626889,1.5001706,2.4073768,1.8938891,1.8031445,1.8778189,2.2981229,2.3079467,120.122501,0.39655128,0.36850134,0.40544418,0.23972651,0.36171511,0.36691082,0.45104003,0.20543911,93.303505,,,,,,71.749954,94,94,94,,,0.10504341,0.12063558,0.083178818,,,,0.53384626,,,,,,0.56997991,,0.071689598,,0.26404086,0.0389423,,0.049875047,,0.06692367,0.22000185,0.006144003,,,,0.46192849,0.17722429,0.028701881,,0.13784477,0.20958377,0.10528755,0.16612752,0.013215541,0,0.17585218,0.061749596,,,0.12744781,0.009513784,,0.037635505,,1.654268,1.6550188,1.6387227,2.2975161,0.85698569,0.67203188,0.72280681,2.0089414,1.8874331,177.9280462,Matched (3),0.33120072,,0.33120072,
moga,0.24252708,0.24033102,0.20954143,0.23702943,0.17536619,0.32012099,0.31074327,0.37931648,0.94734877,0.22676085,0.94734877,0.22676085,2.2047346,,0.7349115,,1.3969041,1.6583197,1.7438978,2.4110112,1.6986166,1.0918788,1.846164,2.5383289,2.6220956,46.28516831,0.23729101,0.29270348,0.23651183,0.10961898,0.28280541,0.26744244,0.38640925,0.9164778,87.688774,,,,,,62.009331,94,94,,,,0.32729948,0.20943075,0.58138573,,,,0.5705815,,,,,,0.61737633,,0.23112364,,0.45578545,0.030226741,,0.10540036,,0.093298972,0.18004064,0,,,,0.45708674,0.18605249,0.047293372,,0.20191205,0.16250172,0.063798793,0.1491549,0,0,0.029226081,0.049576562,,,0.075139597,0,,0.28610444,,1.3874774,1.4912826,1.2751795,2.2972131,1.0962168,0.28272796,0.8291871,2.4835327,2.5189061,90.98543712,Matched (3),0.32997245,,0.32997245,
jalna,0.67270899,0.67598736,0.58026409,0.3975938,0.51875854,0.52931023,0.77259558,0.49717972,0.950661,0.13453613,0.950661,0.13453613,1.1037127,,0.36790422,,1.8613318,1.9377642,1.8521289,2.3581614,1.8289073,1.4390281,1.7389314,2.3253152,2.1836753,289.2534461,0.15730017,0.25402635,0.20323735,0.15456241,0.21515872,0.27529168,0.37373734,0.21220818,44.110569,,,,,,67.247665,94,94,,,,0.10170244,0.15481575,0.40132454,,,,0.54444361,,,,,,0.62679571,,0.15598679,,0.18240884,0.010547854,,0.027615119,,0.11703388,0.285972,0.031224905,,,,0.49939385,0.097033344,0.066741712,,0.10417523,0.25610301,0.19137773,0.15746336,0.023649545,0,0.048781242,0.040351454,,,0.1247443,0.036970112,,0.05667847,,1.5214572,1.6482509,1.8789005,2.3836255,1.4112688,1.2149304,1.3745513,2.334455,1.5392729,173.0097847,Matched (3),0.32386529,,0.32386529,
uttar dinajpur,0.045682393,0.11704904,0.12391984,0.21996692,0.097363174,0.2513102,0.21475178,0.8273285,0.91463876,0.12847841,0.91463876,0.12847841,1.149575,,0.38319165,0.84448248,2.116533,1.7310411,1.4729778,2.6175966,2.0006769,2.077291,2.4240007,2.0876958,2.2509239,368.7018083,0.49057865,0.46638536,0.58712929,0.42025316,0.26883161,0.37331259,0.40416566,0.12020928,70.045349,,,,,,77.939819,94,94,94,,,0.10251375,0.076222807,0.12567306,0,,,0.55926287,,,,,,0.59184515,,0.036667652,,0.16474682,0.061557315,,0.093920588,,0.04487269,0.085444324,0.064142875,,,,0.45895347,0.27909869,0.24336453,,0.22352332,0.33434358,0.037448339,0.20115656,0.061084099,0.089006737,0.15113117,0.038954981,,,0.20034382,0.061974358,,0,,1.8133701,1.501235,1.2422576,2.3250313,1.9086875,1.8922385,2.2450452,1.6160302,1.8674955,288.3664588,Matched (3),0.3227936,,0.3227936,
bijapur,0.23957622,0.40882307,0.51829147,0.48615891,0.29536492,0.43432751,0.34199545,1.1370742,0.66617888,0.18310617,0.66617888,0.18310617,1.3320894,,0.44402981,0.69023764,1.904318,1.8013448,1.5973489,2.6135569,2.3530164,2.4216948,2.4743159,2.3231585,2.3603623,10.25096697,0.11362491,0.034671113,0.060085826,0.39837283,0.094003975,0.10017604,0.25064281,0.67557168,56.527737,,,,,,77.176758,94,94,,,,0.037343249,0.063182682,0,,,,0.21398336,,,,,,0.34392792,,0.055343498,,0.089903764,0.037570532,,0.045466017,,0.057540882,0.11910056,0.048550405,,,,0.21829434,0.15775712,0.052379802,,0.094182886,0.14612967,0.081182361,0.079958864,0.036569264,0.033004314,0.060540959,0.029337168,,,0.072884098,0.029337168,,0.029337168,,2.075573,1.6567576,1.7453175,2.614383,2.497432,2.4784296,2.566165,2.5277572,2.0473163,27.26837771,Matched (3),0.32225096,,0.32225096,
