State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual
33,17,138,51,33,54,36,5,13,19,51,32
33,18,67,33,4,30,22,1,7,12,33,21
33,19,117,57,18,42,21,7,14,27,57,30
33,20,138,37,6,95,38,9,48,19,37,18
33,21,47,33,3,11,7,0,4,14,33,19
33,22,119,81,9,29,11,0,18,32,81,49
33,23,15,10,0,5,2,0,3,2,10,8
33,24,155,128,1,26,17,1,8,70,128,58
33,25,47,35,1,11,6,1,4,7,35,28
33,26,83,54,10,19,12,2,5,29,54,25
33,27,165,54,11,100,93,2,5,33,54,21
33,28,39,20,9,10,8,0,2,14,20,6
33,29,36,26,1,9,5,0,4,3,26,23
33,30,41,24,1,16,3,0,13,15,24,9
33,31,156,117,16,23,10,0,13,80,117,37
33,32,81,56,5,20,10,1,9,32,56,24
36,1,16,11,0,5,2,0,3,2,11,9
36,2,17,11,0,6,4,0,2,1,11,10
36,3,24,14,0,10,5,0,5,5,14,9
36,4,38,5,0,33,25,0,8,0,5,5
36,5,101,34,1,66,46,0,20,10,34,24
36,6,49,5,4,40,30,0,10,1,5,4
36,7,43,16,12,15,4,0,11,6,16,10
36,8,39,27,1,11,1,0,10,5,27,22
36,9,53,33,2,18,3,0,15,7,33,26
36,10,25,10,1,14,1,0,13,1,10,9
