State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual
9,7,14,7,1,6,5,0,1,6,7,1
9,8,13,10,1,2,1,0,1,3,10,7
9,9,38,25,6,7,6,0,1,22,25,3
9,10,28,17,8,3,3,0,0,17,17,0
9,11,82,19,0,63,20,0,43,16,19,3
9,12,35,14,0,21,10,0,11,12,14,2
9,13,10,4,0,6,3,0,3,4,4,0
9,14,15,6,0,9,2,0,7,6,6,0
9,15,23,15,3,5,4,0,1,14,15,1
9,16,26,7,2,17,9,0,8,7,7,0
9,17,5,1,0,4,3,0,1,0,1,1
9,18,6,0,0,6,4,0,2,0,0,0
9,19,18,8,1,9,4,0,5,8,8,0
9,20,8,0,0,8,2,0,6,0,0,0
9,21,6,2,0,4,4,0,0,2,2,0
9,22,43,6,0,37,10,0,27,6,6,0
9,23,39,7,0,32,4,0,28,7,7,0
9,24,18,3,2,13,3,0,10,3,3,0
9,25,64,12,3,49,10,0,39,10,12,2
9,26,90,40,10,40,13,2,25,40,40,0
9,27,42,14,1,27,10,0,17,4,14,10
9,28,13,1,2,10,5,0,5,1,1,0
9,29,14,4,3,7,3,0,4,3,4,1
9,30,8,3,0,5,2,0,3,3,3,0
9,31,3,0,0,3,3,0,0,0,0,0
9,32,6,4,0,2,2,0,0,3,4,1
9,33,62,36,14,12,4,0,8,28,36,8
9,34,24,6,0,18,4,0,14,0,6,6
9,35,68,13,0,55,17,0,38,9,13,4
9,36,52,10,1,41,7,0,34,4,10,6
9,37,48,18,0,30,3,0,27,1,18,17
9,38,22,3,1,18,3,0,15,0,3,3
9,39,31,8,0,23,11,0,12,6,8,2
9,40,37,7,0,30,8,0,22,4,7,3
9,41,51,11,0,40,10,0,30,4,11,7
9,42,19,2,0,17,13,0,4,1,2,1
9,43,8,1,0,7,4,0,3,0,1,1
9,44,53,18,3,32,18,0,14,9,18,9
9,45,69,5,2,62,13,0,49,5,5,0
9,46,32,10,2,20,10,0,10,5,10,5
