State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,State,District
6,16,6,5,1,0,0,0,0,4,5,1,Haryana,mahendragarh
6,17,19,15,0,4,4,0,0,14,15,1,Haryana,rewari
6,18,73,64,4,5,5,0,0,64,64,0,Haryana,gurgaon
6,19,8,5,2,1,1,0,0,2,5,3,Haryana,mewat
6,20,29,25,2,2,1,0,1,24,25,1,Haryana,faridabad
6,21,3,1,2,0,0,0,0,0,1,1,Haryana,palwal
8,1,16,10,2,4,3,0,1,10,10,0,Rajasthan,ganganagar
8,2,10,4,2,4,2,0,2,1,4,3,Rajasthan,hanumangarh
8,3,21,8,3,10,7,0,3,8,8,0,Rajasthan,bikaner
8,4,81,7,2,72,22,0,50,7,7,0,Rajasthan,churu
8,5,31,5,5,21,7,0,14,4,5,1,Rajasthan,jhunjhunun
8,6,127,35,8,84,57,0,27,26,35,9,Rajasthan,alwar
8,7,102,11,1,90,61,0,29,6,11,5,Rajasthan,bharatpur
8,8,77,3,2,72,39,1,32,3,3,0,Rajasthan,dhaulpur
8,9,13,7,0,6,3,0,3,2,7,5,Rajasthan,karauli
8,10,21,8,1,12,9,0,3,3,8,5,Rajasthan,sawai madhopur
8,11,49,10,0,39,25,0,14,4,10,6,Rajasthan,dausa
8,12,206,66,15,125,48,1,76,47,66,19,Rajasthan,jaipur
8,13,99,14,6,79,34,0,45,6,14,8,Rajasthan,sikar
8,14,120,13,1,106,35,0,71,12,13,1,Rajasthan,nagaur
8,15,50,17,2,31,14,0,17,13,17,4,Rajasthan,jodhpur
8,16,10,4,0,6,1,0,5,1,4,3,Rajasthan,jaisalmer
8,17,62,8,0,54,11,0,43,8,8,0,Rajasthan,barmer
8,18,40,15,0,25,7,0,18,6,15,9,Rajasthan,jalor
8,19,33,9,1,23,6,0,17,2,9,7,Rajasthan,sirohi
8,20,23,10,1,12,4,0,8,6,10,4,Rajasthan,pali
8,21,50,10,2,38,20,0,18,9,10,1,Rajasthan,ajmer
8,22,36,4,2,30,13,0,17,2,4,2,Rajasthan,tonk
8,23,26,4,0,22,7,0,15,3,4,1,Rajasthan,bundi
8,24,131,17,1,113,27,0,86,11,17,6,Rajasthan,bhilwara
8,25,58,8,1,49,17,0,32,6,8,2,Rajasthan,rajsamand
8,26,28,3,0,25,5,0,20,3,3,0,Rajasthan,dungarpur
8,27,93,16,3,74,26,0,48,4,16,12,Rajasthan,banswara
8,28,36,5,1,30,9,0,21,3,5,2,Rajasthan,chittaurgarh
8,29,33,22,2,9,6,0,3,8,22,14,Rajasthan,kota
8,30,21,5,1,15,4,0,11,2,5,3,Rajasthan,baran
8,31,15,6,2,7,3,0,4,4,6,2,Rajasthan,jhalawar
8,32,141,33,3,105,38,2,65,25,33,8,Rajasthan,udaipur
8,33,73,17,3,53,8,0,45,8,17,9,Rajasthan,pratapgarh
9,1,40,21,3,16,7,0,9,9,21,12,Uttar Pradesh,saharanpur
9,2,60,21,0,39,16,0,23,13,21,8,Uttar Pradesh,muzaffarnagar
9,3,12,10,0,2,1,0,1,4,10,6,Uttar Pradesh,bijnor
9,4,12,9,0,3,0,0,3,3,9,6,Uttar Pradesh,moradabad
9,5,9,8,1,0,0,0,0,4,8,4,Uttar Pradesh,rampur
9,6,8,1,0,7,2,0,5,1,1,0,Uttar Pradesh,jyotiba phule nagar
9,7,14,7,1,6,5,0,1,6,7,1,Uttar Pradesh,meerut
9,8,13,10,1,2,1,0,1,3,10,7,Uttar Pradesh,baghpat
9,9,38,25,6,7,6,0,1,22,25,3,Uttar Pradesh,ghaziabad
9,10,28,17,8,3,3,0,0,17,17,0,Uttar Pradesh,gautam buddha nagar
9,11,82,19,0,63,20,0,43,16,19,3,Uttar Pradesh,bulandshahr
9,12,35,14,0,21,10,0,11,12,14,2,Uttar Pradesh,aligarh
9,13,10,4,0,6,3,0,3,4,4,0,Uttar Pradesh,mahamaya nagar
9,14,15,6,0,9,2,0,7,6,6,0,Uttar Pradesh,mathura
9,15,23,15,3,5,4,0,1,14,15,1,Uttar Pradesh,agra
9,16,26,7,2,17,9,0,8,7,7,0,Uttar Pradesh,firozabad
9,17,5,1,0,4,3,0,1,0,1,1,Uttar Pradesh,mainpuri
9,18,6,0,0,6,4,0,2,0,0,0,Uttar Pradesh,budaun
9,19,18,8,1,9,4,0,5,8,8,0,Uttar Pradesh,bareilly
9,20,8,0,0,8,2,0,6,0,0,0,Uttar Pradesh,pilibhit
9,21,6,2,0,4,4,0,0,2,2,0,Uttar Pradesh,shahjahanpur
