district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
longding,,arunachal pradesh,15.970932,30.165565,1.3792634,6.3002892,74.21846,0.47504133,90.471535,8.1688433,0.88457829,-697112.2654,1.7955009,10.865767,89.134232,5.0890331,66.87973,2.2198,73.132774,22.401102,17.40801098
lower dibang valley,34.54545593,arunachal pradesh,5.6400375,30.676708,1.7491424,8.5309114,82.567596,23.274483,69.075592,0.33881944,7.2250443,-39376.05803,2.7525995,20.262627,79.737373,4.6303973,64.959618,3.1486068,86.934685,27.272181,33.71018094
lower subansiri,6.951871395,arunachal pradesh,9.7642975,30.98118,1.7063681,8.2831221,79.137238,5.6869397,92.95517,0.89527702,0.35447931,63323.32933,2.8623195,5.7605562,94.239441,4.1598091,62.271523,4.1179085,85.058365,26.849005,36.03047695
namsai,,arunachal pradesh,30.227055,29.722401,1.3569036,6.0702052,72.330597,11.104069,41.988804,28.840315,17.811398,-605936.5634,1.9407288,15.659616,84.340378,5.0186086,73.188164,2.448565,59.125858,19.97241,53.98055635
papum pare,16.2109375,arunachal pradesh,13.400299,29.591393,1.7613766,8.642643,80.91272,7.5426788,84.653595,2.5699832,4.5160813,323290.026,3.2797253,24.635344,75.364655,4.1490502,69.295769,3.694066,83.333855,28.582911,49.92046521
siang,,arunachal pradesh,7.5274734,31.06945,1.8458884,8.8462429,90.356689,2.2030289,97.497757,0.20058449,0.09863352,-370052.9827,2.2068348,11.80121,88.198784,4.6874189,63.642704,2.2905569,89.397919,23.456738,12.04934003
tawang,10,arunachal pradesh,13.478645,31.529575,1.2780734,6.2636552,61.524994,5.6316905,94.092888,0.19658187,0.078840353,297774.5166,3.1971996,10.862873,89.137123,4.1108241,67.427803,4.7385097,80.08712,25.387562,21.3840859
tirap,27.21893501,arunachal pradesh,16.793686,31.590136,1.5493448,7.4204826,77.439079,2.7293649,89.712997,5.0516205,2.5060101,-221708.8486,2.4398124,29.570528,70.429466,4.3241673,70.474129,4.2728591,71.907814,20.633389,25.85531007
upper siang,18.80341911,arunachal pradesh,12.53936,31.838736,1.5570475,7.1652312,79.184814,5.5253758,93.254471,0,1.2201523,-271339.4837,2.375072,18.540894,81.459106,4.6629677,70.920692,2.7645667,81.418503,31.478786,12.52934201
upper subansiri,4.641350269,arunachal pradesh,19.762856,32.31345,1.3201842,6.1142454,67.379639,1.1368371,98.132118,0.20869787,0.48896354,-729945.4446,1.804041,6.7240534,93.275948,4.3575292,76.854317,4.9077067,66.526527,29.655262,36.43852546
west kameng,11.11111164,arunachal pradesh,17.693619,30.365601,1.5195342,7.3211756,74.188591,9.9254198,87.208244,1.4517395,1.4145923,402356.1874,3.3509104,8.9318075,91.068192,3.9981778,65.30912,3.7505004,81.004196,20.062187,35.79436884
west siang,10.29810333,arunachal pradesh,19.92981,31.266432,1.6737145,8.0994062,81.983749,7.197587,91.055191,0.27460381,1.3740947,32717.90146,2.822892,27.855217,72.144783,4.5283461,70.561531,3.7519007,76.999077,36.091789,49.8034751
baksa,13.46153927,assam,20.030861,30.772779,1.5121926,6.9555435,78.929901,22.041962,44.803013,12.936096,19.895163,-621739.6686,1.857926,1.103712,98.896286,4.9461155,75.302017,3.7015281,65.764725,9.5403357,624.1881146
barpeta,7.307692528,assam,36.898365,30.220381,1.542289,7.1157603,78.735062,26.302361,15.202888,37.074329,21.420422,-539584.9585,2.0158205,10.286944,89.713058,5.2041988,75.038406,4.3507771,50.431866,12.950079,1056.700057
biswanath,,assam,30.328777,30.864841,1.366554,6.1801395,73.980026,19.620125,16.001453,15.059498,49.196594,-526874.8717,2.0464306,5.803246,94.196754,4.9156098,75.176048,4.5549269,57.888126,23.508627,268.0358305
