district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
vaishali,2.521008492,bihar,38.070591,28.668411,1.3088157,6.2028131,66.80471,31.819286,4.0541539,17.572123,45.473446,-449915.2941,2.1869166,7.3453598,92.65464,6.0454898,76.937416,2.2242565,52.03516,25.708267,1910.378371
chandigarh,,chandigarh,22.525612,30.823421,1.9358658,9.7595301,87.809914,28.043785,0.11380861,53.62999,15.75963,1385632.143,4.6084833,98.999977,1.0000223,5.389925,66.545715,3.7318821,70.004608,38.051483,596.8167362
balod,31.22171974,chhattisgarh,40.287708,31.128565,1.7774507,8.5337954,87.896675,10.901917,28.931507,0.84322804,59.323345,120094.3593,2.929615,13.672044,86.327957,4.8837433,66.39959,4.7760835,46.547924,22.151861,489.9178858
baloda bazar,40.1253891,chhattisgarh,45.033333,29.365292,1.548448,7.4570026,77.421028,18.132509,13.899636,7.9365625,60.031296,-57456.01699,2.7045324,14.787258,85.212746,6.1154647,66.237411,4.2142892,44.101868,19.393219,862.2788281
balrampur,13.16872406,chhattisgarh,46.232769,29.418598,1.3564743,6.5623808,69.948257,4.1368623,64.212143,5.6697946,25.981203,-945532.0379,1.6226681,6.3328056,93.667198,5.4152155,71.728935,4.2229185,30.585316,15.294025,482.3793676
balrampur,38.63636398,chhattisgarh,46.232769,29.418598,1.3564743,6.5623808,69.948257,4.1368623,64.212143,5.6697946,25.981203,-945532.0379,1.6226681,6.3328056,93.667198,5.4152155,71.728935,4.2229185,30.585316,15.294025,482.3793676
bastar,57.26496124,chhattisgarh,35.498589,29.75622,1.1314161,5.3932943,58.723919,15.802416,64.192734,3.3158507,16.594568,-721059.3143,1.955862,17.849598,82.150398,4.9909821,67.394272,5.2458777,41.271774,23.323587,503.8072452
bemetara,41.57303238,chhattisgarh,62.492493,29.569021,1.4366014,6.7857037,75.444855,22.013742,7.64007,2.4667079,67.879478,-19319.07942,2.7316067,10.863862,89.136139,5.722662,68.302986,4.0579958,24.949631,16.282972,544.6048742
bijapur,28.17869568,chhattisgarh,32.426178,30.012268,0.89770877,4.3906579,47.661366,5.4494367,80.136986,0.55781633,13.677814,-1182831.976,1.5597999,12.086018,87.913986,5.1630135,65.69857,6.6078901,34.191711,28.600063,159.5918363
bilaspur,43.82715988,chhattisgarh,42.989483,29.685223,1.5916667,7.5906043,78.652916,20.915836,26.351353,8.3966312,43.894005,-34270.77211,2.7752473,34.611683,65.388313,5.3077221,64.357338,5.8517227,41.064831,22.155947,1291.120394
bilaspur,21.96969604,chhattisgarh,42.989483,29.685223,1.5916667,7.5906043,78.652916,20.915836,26.351353,8.3966312,43.894005,-34270.77211,2.7752473,34.611683,65.388313,5.3077221,64.357338,5.8517227,41.064831,22.155947,1291.120394
dantewada,,chhattisgarh,23.335426,29.848709,0.95224458,4.6027489,49.510174,11.314857,70.308617,1.6846832,16.607065,-858992.0295,1.8440794,25.741158,74.258842,4.7752724,63.76955,7.8660922,49.747391,24.319962,191.2603354
dhamtari,36.45833588,chhattisgarh,37.820427,30.609379,1.7158586,8.2185869,86.708733,11.794697,20.613323,1.8251324,65.766846,132322.3433,2.9662888,19.178757,80.821243,5.697463,66.723289,4.3551016,44.765724,19.380449,542.904965
durg,26.55367279,chhattisgarh,36.89473,30.896412,1.8787482,9.1768379,87.810616,13.100275,7.5650163,11.089011,68.245697,769885.9003,3.901319,62.321247,37.678753,5.3874378,67.083054,4.3217573,58.403809,24.17522,1131.648784
gariyaband,53.125,chhattisgarh,54.273022,30.230947,1.400391,6.4896255,75.448814,8.3360777,37.875538,0.92373836,52.864647,-338563.9943,2.3080187,8.1143093,91.885689,5.2469349,69.503693,4.106204,33.067989,18.626013,397.4945569
janjgir - champa,24.48979568,chhattisgarh,43.257465,29.179066,1.5577821,7.4711065,78.920242,24.006344,11.606409,2.5152125,61.872036,-109756.9349,2.6031239,13.137378,86.862625,5.4774213,65.924927,4.3953362,39.946766,17.749575,1070.294622
jashpur,37.93103409,chhattisgarh,36.991207,30.434673,1.5374832,7.3360305,78.077705,9.7782707,55.944778,2.657124,31.619831,-831248.2735,1.7143657,11.561082,88.438919,5.407773,72.090149,3.7827187,39.096378,19.339743,513.423913
kabeerdham,34.75177383,chhattisgarh,57.620003,29.421101,1.3373314,6.384614,69.761429,15.321093,17.086618,5.6094909,61.9828,-73091.09885,2.6982353,20.69586,79.304138,5.8235583,67.841682,4.8257833,29.081106,18.663954,602.5740756
kodagaon,,chhattisgarh,45.473083,29.669353,1.108981,5.2995396,58.129585,10.404732,70.946892,0.47379518,18.174583,-887381.2397,1.6925489,9.4754028,90.524597,5.106956,59.660755,5.1497316,30.818382,27.718426,363.3139046
korba,34.80392075,chhattisgarh,37.576641,29.561642,1.6026927,7.6002688,78.706627,8.6986179,43.835987,4.0666347,43.191776,-153146.4665,2.6337092,38.335552,61.664444,5.1717553,64.041176,4.5890679,49.274502,21.103685,785.0155002
koriya,,chhattisgarh,29.376503,29.808649,1.5938709,7.6381321,79.678764,10.046309,45.895405,4.257997,39.800293,-472091.4966,2.2672441,28.680653,71.319351,5.3253722,69.928429,4.0757666,42.227448,22.576035,397.2135959
mahasamund,49.25373077,chhattisgarh,53.358517,30.256556,1.4435147,6.8237457,76.606857,15.747817,25.510496,1.7257905,57.015896,-237481.9293,2.4626255,12.697283,87.302719,5.4254065,66.726166,4.9777431,36.771954,17.93301,681.6515532
mungeli,40.44943619,chhattisgarh,52.934067,29.589947,1.3918916,6.6379075,71.512131,34.151714,14.087245,2.6173446,49.143696,-258902.6022,2.4050741,10.849116,89.150879,5.5837655,66.196404,4.1596923,29.133543,16.97719,439.0179533
narayanpur,35.21126938,chhattisgarh,14.1329,29.622326,1.0625911,5.0952373,55.905247,2.7743647,82.369408,2.821563,12.034659,-971527.1094,1.7441194,19.82408,80.175926,5.042161,61.168056,5.3627062,41.581017,30.373177,86.72630158
raigarh,28.91566086,chhattisgarh,48.769161,29.974236,1.621649,7.7496252,82.45697,12.442518,35.429962,3.7126315,48.285213,-203236.5316,2.5134923,7.9508386,92.049164,5.2550945,64.527222,5.0311012,38.196293,17.108759,1785.455509
raipur,30.94262123,chhattisgarh,39.232342,30.261297,1.7166562,8.1558981,84.294579,17.443047,5.5066681,9.6646223,67.230141,472977.9657,3.4726782,60.955856,39.044144,5.5206199,66.878372,5.5862408,48.729847,26.391104,1538.572165
rajnandgaon,48.30508423,chhattisgarh,50.500153,30.313826,1.6729088,7.8714871,86.041054,12.473174,24.387255,2.193229,60.946346,56311.95112,2.8653293,20.414791,79.585205,5.312716,65.435219,5.528089,35.689743,17.180256,956.0509714
sukma,,chhattisgarh,34.967194,29.921719,0.73701191,3.4322131,40.482677,2.9064174,85.438446,2.2244513,9.430686,-1232505.964,1.3966589,5.3003812,94.699623,5.1598868,64.075081,6.0641403,31.935328,31.723532,152.7457411
surajpur,44.375,chhattisgarh,53.822338,29.611328,1.3832892,6.5992036,71.607208,5.018167,44.806759,5.2595081,44.915562,-634124.3462,1.942456,13.338527,86.661476,5.4762878,70.881134,4.8659854,30.9118,19.940121,361.8092395
surguja,45.69536591,chhattisgarh,47.312267,29.829109,1.5457299,7.4628139,76.876465,4.4752569,54.059826,5.0597439,36.405174,-603212.0726,2.0046213,17.113556,82.886444,5.5838876,69.663658,4.513998,33.552433,15.011166,533.7810629
uttar bastar kanker,47,chhattisgarh,40.816189,30.313154,1.6201957,7.8068562,82.050072,4.2580833,65.192154,1.4231806,28.902309,-312200.5058,2.3377538,9.9171524,90.082848,4.7790556,62.240566,4.8462534,37.390224,19.42824,436.771597
dadra & nagar haveli,,dadra & nagar haveli and daman & diu,40.759243,29.829838,1.4947493,6.9768152,74.767441,6.5261474,61.28577,14.328651,17.392529,61866.73762,2.8498111,36.289768,63.710232,5.3501735,71.989899,4.5250731,54.486919,38.4063,184.7239029
daman,,dadra & nagar haveli and daman & diu,19.016533,30.5154,1.7413828,8.2095213,88.408875,13.436009,23.313473,28.131321,34.433563,706901.7182,3.8230321,73.935913,26.064089,4.5651674,74.029762,3.7801955,74.306938,41.910305,64.89915532
diu,,dadra & nagar haveli and daman & diu,20.010826,31.058764,1.8779134,9.1215534,91.280853,12.070934,1.4555438,7.4956803,78.832916,964661.0049,4.2245483,63.179951,36.820049,5.4537239,56.493889,8.857708,72.619232,53.018684,19.3605389
north goa,,goa,6.3826752,32.88623,2.1502821,10.761125,94.95031,7.9053531,13.927454,34.725502,42.646008,1147772.54,4.4125299,55.718254,44.281746,4.4845438,65.887901,3.6304991,90.906181,45.970638,612.5978013
south goa,,goa,6.0992126,31.980171,2.1348307,10.681131,94.727966,12.753932,18.153862,48.53426,19.982582,1201593.913,4.4659452,64.099327,35.900673,4.7368212,60.031719,3.5904441,91.456047,45.619095,461.200586
ahmadabad,14.34302902,gujarat,26.449638,31.456207,1.7723805,8.4026508,84.075867,21.410913,7.3571963,27.426104,43.560951,1033666.587,4.2530665,82.109169,17.890827,5.6645598,71.854576,4.6656866,71.727058,50.406158,3747.728083
amreli,30.1204834,gujarat,59.499851,30.678055,1.5634156,6.8852329,79.485535,17.386003,0.6377784,18.438583,62.958412,472266.0885,3.4998605,24.997713,75.002289,5.6018949,70.907524,2.1680214,35.791218,37.107071,773.5761816
anand,12.3711338,gujarat,45.348618,31.810881,1.5824879,7.2276349,82.180679,9.0454035,1.7795248,34.73616,53.998959,363944.2354,3.3124394,26.167768,73.83223,5.6967306,79.16803,3.4392073,44.0504,42.946686,1101.241159
aravali,,gujarat,59.397156,30.911554,1.5380145,7.2357407,76.569107,9.227952,16.472174,11.144689,62.96352,-138446.0304,2.6085067,17.413153,82.586845,5.6742687,74.028069,4.2155242,26.613573,42.786411,634.6141057
banas kantha,30.44871712,gujarat,50.835724,29.145361,1.2140849,5.2313304,66.513786,29.624418,15.885059,6.9601507,45.750523,-144274.7292,2.6252151,11.902728,88.097275,6.0481067,72.929581,3.2779615,37.284233,36.520332,1655.718617
bharuch,22.11538315,gujarat,45.316906,31.000574,1.5946203,7.2482548,81.107735,15.826352,33.271721,22.026344,27.421453,328907.8894,3.2785978,32.921795,67.078209,5.6632633,72.216431,5.7832475,41.867596,53.217155,876.5704255
bhavnagar,20.12195206,gujarat,59.167225,30.322536,1.5330423,6.7769442,77.829346,21.105972,2.4901114,22.859087,51.085793,531059.7249,3.5330172,42.192886,57.807114,5.96453,68.489136,2.5488963,37.253124,46.957977,1210.992866
botad,,gujarat,53.840141,29.948589,1.4441569,6.1947045,77.679726,14.673429,1.6688364,11.713895,70.844772,534703.7611,3.5960639,38.255299,61.744701,5.7999911,72.139557,1.5136395,42.774307,45.363117,386.9143332
chhota udaipur,,gujarat,57.967636,31.846548,1.0573119,4.8511305,55.88969,5.054276,76.233124,6.0394788,12.673123,-376720.9181,2.2623761,8.618001,91.381996,5.7110329,74.166168,6.1843419,24.081316,37.544842,532.5271782
devbhumi dwarka,,gujarat,41.922314,30.181892,1.1732194,4.9754868,62.979134,15.977674,1.5736629,11.776126,70.417084,442644.7829,3.4173717,37.665157,62.334846,6.134656,70.886536,2.4688158,43.795383,44.451462,438.9454742
dohad,31.875,gujarat,55.426876,29.967083,1.1409231,5.252408,58.059872,1.6434941,63.258934,3.1836782,31.685465,-687005.8119,1.8627017,11.206272,88.793724,6.7590113,72.485901,3.6620834,24.574749,38.680031,1210.035688
gandhinagar,8.333333969,gujarat,42.372948,31.159887,1.7272563,8.0421047,83.158295,14.676085,2.5231166,18.659897,63.334518,659099.154,3.7470188,47.787945,52.212055,5.487772,77.327782,3.4105091,45.346252,49.150105,878.516233
gir somnath,,gujarat,36.285801,29.851254,1.4939513,6.8082929,74.115662,24.888166,2.9474087,9.4727383,62.30545,369503.6633,3.3233449,25.905222,74.09478,6.3633547,67.088928,3.5677166,48.277416,37.054897,646.0799842
jamnagar,20.47244072,gujarat,29.55484,31.015625,1.7120099,7.7776499,83.816193,13.119057,1.6699148,22.556656,62.654369,864205.1684,4.0871873,52.588398,47.411606,5.4702554,67.890892,1.7720306,67.455658,52.730732,758.5505129
junagadh,32,gujarat,48.332703,31.189392,1.7317961,7.8555322,84.928947,16.964684,5.3884292,16.779039,60.52372,500100.1681,3.5195682,36.416931,63.583069,5.3942609,72.952621,3.7100132,40.163666,44.613552,800.5412499
kachchh,17.41293526,gujarat,44.236156,29.238485,1.425338,6.2522817,74.060226,22.516783,3.2962811,21.611883,52.314693,646620.7015,3.7151444,30.717287,69.282715,5.5352669,68.639786,3.7485332,49.941998,42.178379,1163.374682
kheda,10.1960783,gujarat,62.108994,30.600576,1.4899485,6.6421852,78.442619,13.452254,3.0375936,24.910679,52.252121,69335.18542,2.8900788,21.275328,78.72467,6.2163134,77.083435,4.2432771,23.988531,40.06321,1199.639504
mahesana,16.66666794,gujarat,46.335552,30.897804,1.55276,7.103797,78.335014,9.2801666,4.1267967,14.958692,70.545105,244055.5464,3.1796451,31.716797,68.283203,5.5754218,74.563042,4.0033002,46.9482,45.153667,1218.799569
mahisagar,,gujarat,46.755112,32.20697,1.4963,7.0787439,73.442284,8.2078133,30.992741,8.7916451,52.007801,-258623.9661,2.4209905,10.094709,89.905289,5.6600428,80.126266,4.104198,33.000191,41.25956,530.52512
morbi,,gujarat,39.443787,30.770666,1.7194623,7.8496552,83.439484,11.729671,1.2412488,27.842348,59.186733,809210.7329,3.9565864,35.269608,64.730392,5.9216089,72.03717,1.9339159,55.005402,47.060574,545.0390637
narmada,50,gujarat,41.71553,31.791142,1.3635944,6.1188488,72.469124,2.7738073,85.301346,3.1035028,8.8213472,-422154.8575,2.2380817,11.841639,88.158363,5.1847053,75.514641,5.5260468,34.505173,42.152859,330.3901024
navsari,34.02777863,gujarat,23.072464,31.958479,1.846068,8.8873873,87.129745,7.23911,51.42432,13.523978,27.812593,369885.4776,3.3273559,26.635221,73.364777,5.1699281,69.057625,7.1368752,65.397194,38.975941,783.7709064
panch mahals,34.23728943,gujarat,53.400414,30.920441,1.5023344,6.8475623,76.196724,10.322208,15.349237,12.654262,59.671093,-105053.048,2.6657431,23.374063,76.625938,5.7973351,75.414398,5.9548254,27.250082,47.386963,1033.795916
patan,26.08695602,gujarat,52.901493,30.387644,1.3652881,5.9948006,74.036499,17.352854,2.329843,8.013979,72.050781,262548.2192,3.1471672,18.357498,81.642502,5.7285695,72.29776,4.2159176,38.652096,40.273994,732.7008713
porbandar,21.95121956,gujarat,37.073509,30.657188,1.7786891,8.2260189,86.031944,20.555075,6.4735556,9.0866718,63.884701,815086.0761,3.9643877,51.380772,48.619228,5.3056865,69.760826,3.4412498,58.004211,37.659119,341.5809888
rajkot,19.56044006,gujarat,27.523926,31.364052,1.827437,8.6094007,86.031685,25.033823,0.25114912,21.855465,52.794342,968543.4691,4.232058,65.185257,34.814743,5.613059,72.837578,2.401825,65.856201,42.049908,1536.956396
sabar kantha,15.08620644,gujarat,42.610207,30.599703,1.5429343,7.1453052,76.402107,11.031288,26.394865,16.782755,44.838917,89560.09718,2.9647596,19.246502,80.753502,5.5878396,74.334679,3.8399284,44.357994,40.496376,802.0799127
surat,21.35493279,gujarat,36.432377,31.474463,1.7928106,8.4462433,86.841049,5.4349804,21.131454,34.066471,38.984253,874399.7108,4.0727749,78.789452,21.210548,5.1430383,73.162354,3.3701353,56.284618,45.80756,3495.921153
surendranagar,21.02272606,gujarat,52.553349,30.682886,1.4630361,6.3528557,77.015892,12.598917,0.66265136,14.774324,71.964111,352887.8898,3.3085322,24.568769,75.431229,5.6440706,74.657211,2.5942509,42.011471,42.149441,795.2635633
tapi,58.06451416,gujarat,40.560638,31.975475,1.5102291,7.0855589,75.888527,1.0697837,85.074387,5.6607733,8.0231647,-178633.6089,2.5044706,8.8460522,91.153946,5.0143561,72.828033,5.8004551,46.017967,42.517323,462.3442884
the dangs,,gujarat,49.203056,31.424017,1.3919096,6.158659,76.766792,1.0390623,94.811874,0.30355623,3.845505,-573482.7906,1.9776571,10.546153,89.45385,4.9047213,77.124596,4.9945149,32.412735,37.349243,116.0852484
vadodara,24.507658,gujarat,27.339798,31.504147,1.8521994,8.7826929,86.416885,12.925906,5.8819723,47.455727,29.333899,840415.2068,3.9400635,56.001644,43.998356,5.5106926,74.374687,4.7326899,58.751137,48.516197,1455.365439
valsad,31.63265228,gujarat,29.505684,31.22073,1.7551141,8.5111923,84.291908,8.2356052,52.902287,10.711269,28.150841,373264.7152,3.3507633,39.050755,60.949249,5.5142274,74.375977,4.6850872,63.89801,49.127743,1109.627297
ambala,12.99435043,haryana,27.406693,31.195633,1.9668356,9.677227,91.092369,37.928936,0.62845635,32.646236,26.968008,1091779.957,4.3310695,37.507732,62.492268,5.4829679,68.517097,4.7336369,62.521507,41.0116,583.7816879
bhiwani,22.19512177,haryana,46.735588,30.601988,1.7187154,8.4413834,82.005852,35.773167,0.61983615,38.581734,25.025263,800938.6375,3.9644008,25.399265,74.600739,5.7505364,71.880905,4.7246904,39.214157,26.959148,677.7392427
charkhi dadri,,haryana,36.388184,30.67712,1.8495225,9.2187185,86.192047,31.330486,0.70672494,42.322903,25.152388,948521.1245,4.1727238,10.291053,89.708946,6.0312238,73.469063,4.7561698,53.928978,30.11002,293.2701137
faridabad,10.21126747,haryana,31.177685,30.576244,1.9192629,9.5541077,86.106407,19.73889,1.6287161,48.183678,30.34474,1137423.798,4.3966894,78.981537,21.018461,5.4045043,69.947586,2.7297256,59.033024,35.707325,935.90233
fatehabad,12.28070164,haryana,59.976639,29.942387,1.5724424,7.7039599,76.878471,45.995407,0.67092085,29.497667,23.836006,883063.3237,4.0229082,19.882336,80.117661,5.8826671,69.946465,4.3272457,29.83107,43.143036,554.0972657
gurgaon,19.31216812,haryana,26.895058,30.636885,1.9775479,9.887208,89.194023,27.330688,0.89851159,33.834469,37.67836,1225663.693,4.4645553,65.173462,34.826538,5.4245572,74.579491,4.160974,68.831917,39.45842,858.5053017
hisar,5.252100945,haryana,52.091858,30.235352,1.6596144,8.0668583,81.520218,41.292469,0.19224598,33.300877,25.022343,930550.7922,4.1343932,31.379169,68.620834,6.161057,71.662277,4.4183478,40.987442,35.519062,1033.695018
jhajjar,6.770833492,haryana,30.397072,31.066425,2.0176735,10.183978,90.577148,21.9132,0.52280653,54.241188,23.322809,1186811.355,4.4083652,24.283953,75.716049,5.6649122,71.404991,6.2355738,57.358803,36.469604,546.0782632
jind,20,haryana,46.85173,29.966143,1.7477567,8.4539251,86.769783,30.662209,0.098250769,47.714607,21.524931,877229.2462,4.089355,19.70702,80.292984,5.9669976,69.681839,4.230906,41.147377,31.811275,763.6438983
kaithal,20,haryana,49.093716,30.344019,1.6359515,8.0397539,80.213028,39.055504,1.0278095,42.185322,17.22995,958097.1519,4.1479073,24.697899,75.302101,5.6714063,73.180908,3.0631633,38.484402,39.455494,577.9876601
karnal,16.49214554,haryana,42.7537,31.561243,1.7786714,8.6594629,86.629028,26.102993,0.3056466,44.541309,28.845892,1052728.995,4.2687054,30.675951,69.324051,5.6564603,70.611008,5.2320695,51.966087,37.805851,932.9136934
kurukshetra,10.69182396,haryana,38.605846,31.296019,1.8006092,8.8258419,86.726173,29.409664,1.0977027,38.37225,30.601465,1042425.184,4.2313552,26.986256,73.013748,5.8751373,73.793739,4.4125872,53.444607,36.79237,541.1294926
mahendragarh,3.658536434,haryana,31.253593,30.783144,1.8282874,9.0361176,84.657478,27.092117,0.8591339,29.626194,41.978855,736881.3238,3.840677,13.268956,86.731049,5.4681978,77.291527,2.5689623,57.963745,32.486736,479.4955454
mewat,3.112840414,haryana,65.25145,27.827414,0.87434608,3.952662,48.841377,13.68881,1.3047471,25.171638,58.166386,112933.4278,2.9605091,12.039356,87.96064,6.8516822,70.903221,2.8007748,27.152058,32.685951,514.7585115
palwal,2.400000095,haryana,59.840145,28.833111,1.5170275,7.3688483,74.598198,27.768251,0.38475767,39.72871,31.873163,641122.1062,3.7162039,22.870558,77.12944,6.4948096,71.225273,3.3346374,28.800022,34.859917,577.6077751
panchkula,16.5714283,haryana,22.180374,30.906542,1.97014,9.8458471,92.021484,33.688404,1.9756261,43.895042,19.434706,1273309.513,4.5246191,45.204819,54.795181,5.8131428,68.498581,3.0378625,70.330406,40.947578,307.720914
panipat,20.80745316,haryana,45.444996,30.070553,1.8624494,9.2156248,88.269218,22.659822,0.71945161,43.641155,32.379837,1015467.558,4.215178,41.834358,58.165646,5.8446188,74.548065,2.9641011,43.226757,39.944233,681.4673586
rewari,10.55555534,haryana,33.197121,30.853891,1.9584529,9.8023424,87.975639,27.221415,0.3804681,23.612774,48.318367,946358.6893,4.1704531,30.01552,69.984482,5.3510036,75.112267,2.4497106,55.89444,33.961575,520.6409453
rohtak,3.703703642,haryana,17.509789,30.308809,1.9388208,9.6333551,90.317764,34.449535,1.2155761,42.803673,21.425282,1066265.644,4.2918177,43.302368,56.697632,5.690671,68.637985,4.5701327,72.196159,36.747581,608.0407075
sirsa,10.92436981,haryana,35.453209,30.288195,1.5790009,7.7730546,77.1679,42.882969,3.4375865,35.319637,18.359804,825931.5214,3.945276,20.983381,79.016617,5.8575497,71.102364,3.0848737,50.147362,40.620922,710.4545064
sonipat,13.85767746,haryana,31.13538,30.977863,1.9422095,9.6584749,90.423813,24.397951,0.073156565,53.011703,22.297546,1057007.087,4.282979,33.074284,66.92572,5.6056275,73.512543,4.1439915,62.401699,44.248589,800.3970271
yamunanagar,11.22448921,haryana,36.453815,31.332811,1.8497218,9.0861301,88.973572,28.143328,0.40595227,33.012726,37.834915,1074425.526,4.2706208,37.969246,62.03075,5.669486,71.951714,4.2220478,54.109997,45.95792,617.7451274
bilaspur,43.82715988,himachal pradesh,24.228989,32.88905,2.0057924,10.135427,94.887794,28.019779,1.7391661,64.508888,5.6224084,697062.2563,3.8176103,8.0427971,91.957199,5.0096889,76.513962,3.2927942,75.771011,49.455624,202.2485106
bilaspur,21.96969604,himachal pradesh,24.228989,32.88905,2.0057924,10.135427,94.887794,28.019779,1.7391661,64.508888,5.6224084,697062.2563,3.8176103,8.0427971,91.957199,5.0096889,76.513962,3.2927942,75.771011,49.455624,202.2485106
chamba,56.44599152,himachal pradesh,29.156433,31.005077,1.6367918,8.2684813,82.934135,24.514143,24.343765,47.96727,2.9950311,256862.0969,3.1341097,7.7876754,92.212326,4.8804188,72.903847,2.4315367,69.748131,41.855824,265.9935975
hamirpur,42.54545593,himachal pradesh,13.298889,32.489674,2.1644669,11.19332,96.542397,28.038212,0.48064351,57.57336,13.633701,764119.0861,3.8773878,9.3682661,90.631737,4.821991,75.728912,2.0299387,85.37944,44.353668,247.9542462
hamirpur,34.28571701,himachal pradesh,13.298889,32.489674,2.1644669,11.19332,96.542397,28.038212,0.48064351,57.57336,13.633701,764119.0861,3.8773878,9.3682661,90.631737,4.821991,75.728912,2.0299387,85.37944,44.353668,247.9542462
kangra,53.07582092,himachal pradesh,19.608307,32.180405,2.0798612,10.609442,95.870399,25.617981,6.9010725,29.052242,38.31897,718935.5366,3.8283606,5.0744138,94.925591,4.9286184,69.844093,3.4938204,76.085838,47.138054,913.7836449
kinnaur,44.44444656,himachal pradesh,11.762932,32.84605,1.8805771,9.3461504,91.213028,17.846867,68.578117,12.252453,1.1697179,264406.6902,3.1812496,0,100,4.3868651,75.60614,3.4605734,86.574348,50.618385,38.33645209
kullu,62.0689621,himachal pradesh,17.502579,31.735609,1.8432937,9.0445442,89.509247,25.799994,2.7764227,66.524277,4.6438575,347681.3693,3.2859883,10.874178,89.125824,4.955009,74.677399,2.5503366,79.709328,47.941566,236.5893312
lahul & spiti,80.95238495,himachal pradesh,10.406158,34.417999,1.761014,8.9721737,86.344421,3.6836081,85.779449,10.444107,0.092835508,-142566.9172,2.5219631,0,100,4.1886892,79.869347,3.4940109,89.593842,48.366402,12.29501006
mandi,57.90753937,himachal pradesh,12.34729,32.566071,2.0578713,10.685595,94.273544,26.969543,0.6598829,70.671776,1.5720557,577474.2012,3.6000638,11.075159,88.924843,4.9604645,79.164612,3.2248714,85.434113,51.98497,565.5405114
shimla,40.87591171,himachal pradesh,4.8017502,32.412907,2.1090319,10.840944,92.564552,23.879503,0.92979783,71.832489,3.1488233,618760.2622,3.7240481,34.982578,65.017418,4.6938047,70.797043,3.3877954,92.886009,55.503719,485.4513184
sirmaur,34.19913483,himachal pradesh,27.226799,31.525702,1.77288,8.955945,86.568062,30.210253,1.8053883,41.067772,26.732573,633284.9314,3.6819432,11.996962,88.003036,5.7131262,71.588608,3.5860736,64.291534,45.416401,282.3362011
solan,49.18793488,himachal pradesh,17.438087,31.665956,1.9615002,9.9299402,91.252914,27.816984,2.5211387,60.951267,8.409936,855662.4493,4.034246,21.919538,78.08046,5.1100078,73.835632,2.9147429,80.924988,47.218506,346.7476655
una,35.83333206,himachal pradesh,19.577782,31.950972,2.0742402,10.520745,94.517586,26.139641,2.1956394,35.36158,35.094292,951194.8999,4.1497078,12.787782,87.212219,5.0920753,72.216225,3.6477461,73.450241,39.041428,283.6262424
anantnag,11.62790775,jammu & kashmir,23.132988,29.878786,1.6969427,8.4829645,75.340919,9.656395,8.312706,69.391357,12.461798,441878.0804,3.4378941,25.950617,74.049385,5.0668621,55.00803,1.1081424,74.853958,23.293814,508.5895435
badgam,18.0232563,jammu & kashmir,27.612663,29.86186,1.6539732,8.1208305,75.442055,8.9242592,3.1797037,62.011753,25.771147,405294.9336,3.3930981,17.304678,82.69532,5.5366216,56.414211,0.78857297,67.951347,24.804131,318.8649709
bandipore,3.436426163,jammu & kashmir,34.071407,29.636784,1.467622,7.0648971,68.190002,2.2469826,9.7954855,81.974937,5.9825954,80576.8337,2.8795083,18.907959,81.092041,6.0195599,52.999912,1.8941097,61.50359,25.997156,207.9021212
baramula,3.203661442,jammu & kashmir,25.902351,29.582075,1.4695088,7.1117153,68.525536,4.2589078,1.437597,86.582199,7.0631185,200861.1823,3.0488176,21.596214,78.403786,6.2034841,55.661438,0.65811998,68.268982,23.123602,585.1166965
doda,8.661417961,jammu & kashmir,35.785858,29.96545,1.5083743,7.5553079,70.820915,6.3613439,5.821331,86.093651,1.7236743,-13218.88367,2.7368493,7.6109896,92.389008,5.2137756,67.146896,1.9711511,64.214142,27.986877,221.3144826
ganderbal,18.71921158,jammu & kashmir,36.121445,29.689219,1.4206368,6.8679008,65.919464,5.111053,9.6304026,73.353539,10.198538,263972.3349,3.1501825,15.616179,84.38382,5.7781205,60.332321,1.3257343,61.5849,22.824833,151.6039113
jammu,27.19033432,jammu & kashmir,10.109016,30.966784,2.1042876,10.692978,92.425072,27.152973,0.87588811,67.44175,4.529388,1155215.271,4.4473,45.725895,54.274105,4.934792,65.972534,2.1825159,87.55526,36.950417,926.4430797
kathua,25.59366798,jammu & kashmir,14.85289,30.758522,1.9317582,9.7160645,89.328171,32.043869,3.8321881,60.775089,3.1758864,774213.7552,3.9389777,16.682533,83.317474,4.8166699,62.296547,1.7670884,83.89183,25.705572,374.9571705
kishtwar,8.163265228,jammu & kashmir,31.115021,30.475534,1.6089479,7.9209309,74.71357,10.845743,8.9373302,73.880058,5.8417583,42793.39658,2.8643355,6.4813137,93.518684,5.2493873,62.099724,1.8468943,51.712257,24.545725,153.0845598
kulgam,12.109375,jammu & kashmir,39.182495,29.406267,1.5647972,7.6770091,71.85598,2.0543497,0.3863959,69.696304,27.772512,-9918.621808,2.7421312,18.953279,81.046722,5.5082426,57.75349,1.0264868,60.817505,20.466501,240.2088661
