district,total_weight_district,m_justify_beating_goes_out,m_justify_beating_neglect_kids,m_justify_beating_argues,m_justify_beating_refuses_sex,m_justify_beating_burns_food,m_num_control_issues,m_ever_humiliated_hp,m_ever_threatened_harm_hp,m_ever_insulted_hp,m_experienced_emotional_viol,m_pushed_shook_thrown,m_slapped,m_punched_hit_harmful,m_kicked_dragged,m_strangled_burnt,m_threatened_weapon,m_forced_unwanted_sex,m_forced_other_unwanted_sex,m_arm_twisted_hair_pulled,m_forced_unwanted_sexual_acts,m_experienced_less_severe_phys,m_experienced_severe_phys_sex,m_experienced_any_physical_viol,m_experienced_any_sexual_viol,m_injury_broken_bones_teeth,m_injury_deep_wounds_bleeding,m_injury_head_internal,m_injury_wounds_brokenbones,m_injury_severe_burns,m_experienced_any_listed_injury,m_respondent_physically_hurt,m_freq_hurt_hp_last12m,m_hp_drinks_alcohol,m_freq_hp_drunk,m_freq_hit_last12m_non_hp,m_hp_hurt_during_pregnancy,m_not_hurt_during_pregnancy,m_father_beat_mother,m_hp_jealous_other_men,m_hp_accuses_unfaithful,m_hp_limits_female_friends,m_hp_limits_family_contact,m_hp_insists_know_where_is,m_hp_no_trust_money
kandhamal,55302804,0.201599,0.32819495,0.33370286,0.079754509,0.1295673,0.68166071,0.1173432,0.029779647,0.15534207,0.099745542,0.1150329,0.34817985,0.065358423,0.046175707,0.022865295,0.023607139,0.023607139,0.028620556,0.043842912,0.023651296,0.18703993,0.031374685,0.023629218,1.1634343,0.046440501,0.006662556,0,0,0,0.05310306,0.008138467,0.016276933,0.32517028,0.53842193,0.072286494,0.013265548,0.7385394,0.27605912,0.067477465,0.065580435,0.13266012,0.13228834,0.066446669,0.21720769
baudh,39494720,0.25348699,0.38063169,0.39983335,0.19065006,0.16744423,0.64021796,0.21124667,0.091371581,0.24074833,0.16970633,0.25175539,0.43942219,0.10508149,0.15139437,0.040258698,0.027631035,0.040258698,0.07349129,0.16589873,0.040258698,0.22440271,0.078460284,0.039508749,2.139096,0.050804134,0.016764266,0,0,0.005711852,0.061856546,0.012104023,0.012104023,0.25850469,0.37875149,0.084571481,0.023103215,0.80008769,0.32461229,0.1250985,0.053284921,0.13934913,0.12111545,0.075067781,0.12630212
subarnapur,49069256,0.23774728,0.33422104,0.25861186,0.059400555,0.14173317,0.46278676,0.058287822,0.027598666,0.028429735,0.038329661,0.31151178,0.4201906,0.063114367,0.028912768,0,0,0.045573588,0.014456384,0.064928316,0.014456384,0.23155707,0.014456384,0.022786794,2.0810883,0.037056297,0,0,0,0.016159629,0.053215928,0,0,0.20511705,0.32150167,0.22298282,0,0.73906487,0.48505068,0.069765784,0.031527173,0.076409169,0.097388737,0.092260458,0.095435441
balangir,137358944,0.12755525,0.25721759,0.15611899,0.048969015,0.075414963,0.50542545,0.10118568,0.052253649,0.14554825,0.087851666,0.37140936,0.53790945,0.022588205,0.084027521,0.022588205,0,0.02502892,0.047053508,0.12292384,0.0201283,0.28263322,0.031773876,0.029173804,3.4024148,0.03332806,0,0,0,0,0.03332806,0.018850459,0.018850459,0.31136504,0.56983602,0.14584926,0,0.79991251,0.36705008,0.093731746,0.025445836,0.050380271,0.13415933,0.17488189,0.13661948
nuapada,45278192,0.30298868,0.20222144,0.23264104,0.39281577,0.048536081,0.73491025,0.064118087,0.090620622,0.052099299,0.061575647,0.29020482,0.48857403,0.12519395,0.099125996,0.073696271,0.008254614,0.13770388,0.033726014,0.14257565,0.13997802,0.21295062,0.037280288,0.077693447,1.4601986,0.019579889,0.013573091,0,0.008254614,0,0.037280288,0.004127307,0.008254614,0.41374522,0.61943531,0.056325924,0.004127307,0.75467283,0.31840062,0.072465479,0.025987323,0.12316762,0.084988154,0.19211549,0.23618622
kalahandi,112498688,0.18923707,0.36763707,0.27067322,0.10380565,0.15246058,0.71068519,0.12503912,0.036317214,0.12643747,0.079021901,0.2318922,0.31096569,0.016816624,0.014132671,0,0,0.038173672,0.030778831,0.068937615,0.029579384,0.17098162,0.00471089,0.03447625,1.4028773,0.025224943,0,0,0,0,0.025224943,0.007245027,0.014490053,0.22571701,0.34520754,0.045759145,0,0.72987127,0.21760879,0.052867852,0.038680132,0.14375065,0.17529328,0.092985556,0.20710777
rayagada,80638384,0.20285949,0.42125928,0.34793147,0.089495569,0.17436837,0.58874911,0.17097358,0.055519391,0.13445948,0.082196653,0.18759766,0.27620205,0.14389455,0.098650441,0.048064083,0,0.044006836,0.13729687,0.16608591,0.11425093,0.1376577,0.065795504,0.068648435,3.3153069,0.050948232,0,0,0.027759695,0.014847272,0.065795504,0.015796907,0.016470294,0.2391298,0.40800938,0.010742403,0.014847272,0.83828676,0.34174308,0.045174282,0.035321455,0.12152739,0.10134956,0.099694982,0.18568143
nabarangapur,96181440,0.067998827,0.19694303,0.15231143,0.047216084,0.062453423,0.39257839,0,0,0.1133517,0.039910235,0.26625481,0.44345671,0.073964417,0.02778326,0,0,0.020673988,0.020673988,0.02564499,0.020673988,0.2684916,0.01389163,0.00689133,1.2718714,0.006194771,0,0,0.032551445,0,0.038746219,0.032551445,0.032551445,0.34197873,0.62618893,0.15841298,0,0.86833632,0.23594464,0.072893448,0.025316132,0.051212054,0.020391949,0.063755199,0.15900964
koraput,113060824,0.11826967,0.22803159,0.24387474,0.13953778,0.10145628,0.55278212,0.045787238,0.041013438,0.071637027,0.046258438,0.35347295,0.52091277,0.15306376,0.24491334,0,0,0.068134211,0.073883951,0.20755115,0.054463066,0.23912197,0.10394409,0.05370681,2.7060175,0.060116608,0,0,0,0,0.060116608,0.047127958,0.067305863,0.38683012,0.56106269,0.07112965,0.02655445,0.77795178,0.54014432,0.063990988,0.030204529,0.11578935,0.032132827,0.090716772,0.21994762
malkangiri,49033836,0.09957426,0.23682247,0.27209997,0.025956688,0.089183256,0.73325402,0.16244674,0.047334377,0.13455941,0.11779586,0.16087659,0.28792849,0.047334377,0.054491576,0.040207051,0.027546285,0.064623497,0.012704534,0.087393858,0.059019815,0.1431703,0.036056142,0.05906703,0.9477607,0.023667188,0.006296407,0,0.011861524,0,0.023667188,0.023645304,0.047290608,0.42649642,0.68817246,0.026262803,0.005509257,0.81790084,0.47080705,0.073188461,0.037405804,0.15383837,0.1277207,0.13732432,0.2037763
koriya,58130864,0.056423176,0.12550758,0.13616744,0.11179629,0.13835165,0.94543481,0.061973274,0.069789551,0.09082748,0.047978662,0.15250693,0.33119142,0.062018517,0.08305645,0,0,0.010383589,0.010383589,0.16289052,0,0.15819861,0.03325507,0.010383589,0.66384423,0.033149738,0,0,0,0,0.033149738,0.019917252,0.029450912,0.39422432,0.55239868,0,0.007012643,0.77164125,0.15590781,0.26398,0.055111412,0.12382422,0.12301227,0.30055752,0.078949474
jashpur,82610752,0.041000351,0.069306135,0.063571908,0.047522701,0.04130454,0.77110016,0.006266884,0.016814688,0.016814688,0.011540785,0.11421198,0.21587542,0.061453976,0.053339496,0.016814688,0.024343429,0.030443786,0.020295857,0.10446392,0.040591713,0.10755359,0.02980319,0.020295857,1.1161267,0.044282034,0.006266884,0,0.024529289,0,0.05239651,0.006266884,0.012533768,0.42990002,0.76121897,0,0.016414812,0.84839088,0.31484354,0.15546806,0.075020842,0.17692176,0.13573962,0.089827918,0.13812195
raigarh,282338368,0.048801035,0.074219428,0.090156302,0.027523121,0.054139834,1.1339207,0.058538657,0.058427375,0,0.040069949,0.16571793,0.29895836,0.058427375,0.074610487,0,0,0.13191117,0.047682397,0.16456006,0.1581036,0.14726886,0.037305243,0.089796782,3.494473,0.039470259,0.029213687,0,0,0,0.039470259,0,0,0.37202477,0.65264422,0,0,0.86395109,0.56178904,0.18539508,0.06770435,0.31171316,0.18380961,0.12270599,0.26259243
korba,142410752,0.053835753,0.16050258,0.22062902,0.1482203,0.1555441,0.80020714,0.013392999,0.008928666,0.008928666,0.008928666,0.037273701,0.089012966,0.034570802,0.034570802,0.008928666,0.004464333,0.098989204,0.028903021,0.033367354,0.059627324,0.072236978,0.021749735,0.05172677,2.9320474,0.017725825,0,0,0.004464333,0,0.017725825,0,0,0.28667524,0.33207044,0.03565152,0.009623536,0.65523601,0.63579965,0.18722022,0.20105523,0.1465703,0.19202064,0.14566056,0.17022057
janjgir - champa,157034336,0.13252851,0.17063107,0.1581042,0.086809516,0.061989162,0.80659705,0.10701407,0.039025094,0.090072013,0.092651397,0.13764171,0.34178632,0.038697053,0,0.028154498,0,0.070050441,0.10230792,0.10046542,0.060665604,0.16592917,0.009384833,0.069923624,3.6772139,0.021156965,0,0,0,0,0.021156965,0.023919756,0.047839511,0.32810616,0.5619902,0.047342155,0,0.75424737,0.30126336,0.23440051,0.0747867,0.11821369,0.12305715,0.14681365,0.13261792
kabeerdham,79360520,0.028350357,0.032454159,0.069034122,0.046079624,0.019679483,0.9657588,0.095450245,0.05746603,0.095450245,0.060095146,0.14621122,0.20173547,0.057794027,0.057794027,0.050072607,0.023164263,0.1791535,0.15698832,0.11713402,0.15746972,0.1397569,0.028897014,0.088772014,0.32850844,0.042204019,0.015442843,0,0.015442843,0,0.042204019,0,0,0.29977354,0.4649024,0,0.007721421,0.79689813,1.0722381,0.29799184,0.068868265,0.21516028,0.16793399,0.16582987,0.155468
rajnandgaon,167897968,0.18080024,0.23238561,0.16897425,0.11864263,0.12800185,0.90799832,0.02266361,0.02097836,0.017568497,0.022482386,0.034488469,0.18621895,0,0.012814723,0,0,0.027876453,0,0.080645882,0,0.10082142,0.006407362,0.011150582,0.36239037,0.005575291,0,0,0,0,0.005575291,0.02528635,0.039134588,0.32240975,0.53572559,0.046757158,0.006407362,0.68839532,0.099575289,0.30755883,0.030884804,0.10524606,0.18846968,0.21150272,0.064336233
mahasamund,125062648,0.10185696,0.14683358,0.15976603,0.14387052,0.16718754,1.0852205,0.051368896,0.03726222,0.010529427,0.032509841,0.089226268,0.45764998,0.079792254,0.050635856,0.003509809,0.003509809,0.040772028,0.040772028,0.048614178,0.080983937,0.2174852,0.027072832,0.040491968,1.6365573,0.003509809,0,0,0,0,0.003509809,0.00484175,0,0.31316286,0.57803518,0.069442585,0.008351558,0.75868946,0.5137164,0.28310734,0.11265107,0.1694165,0.1247144,0.21555756,0.17977361
dhamtari,78045472,0.084595129,0.074850246,0.13050224,0.068576545,0.060175549,0.75374943,0.083385684,0.0515025,0.011534878,0.067444094,0.1033217,0.28103676,0.015715837,0.015715837,0,0,0.038785595,0,0.083385684,0,0.14319792,0.007857919,0.019392798,1.9069548,0.015614512,0,0,0,0,0.015614512,0,0,0.30891088,0.44794136,0,0,0.71195775,0.13836552,0.12759691,0.052887551,0.13646144,0.064604506,0.19741488,0.17478415
uttar bastar kanker,61590700,0.12194727,0.098959483,0.12684895,0.055722244,0.035886455,0.99293935,0.060087513,0.060087513,0.067568414,0.048821639,0.094724283,0.36520612,0.04475278,0.15213637,0.067215599,0,0.014917609,0.021147739,0.009623677,0.057213087,0.17326078,0.0676319,0.028606543,1.8380114,0,0,0,0,0,0,0.02252504,0.007487608,0.34852639,0.5541417,0,0,0.78386694,0.35373268,0.33566359,0.014975199,0.17418678,0.071859255,0.25498015,0.14127432
narayanpur,14681688,0.35702795,0.50038189,0.44341475,0.25541702,0.20754494,0.57354456,0.043485396,0.02188495,0.034434799,0.049902573,0.17748988,0.50577718,0.067180626,0.044193488,0.010942475,0.02188495,0.048943691,0.02188495,0.11306391,0.032827426,0.25735119,0.027779777,0.029943082,3.5857122,0.030366672,0.011366064,0,0,0,0.030366672,0.045668658,0.067788184,0.37460175,0.71254724,0.036292285,0.00558083,0.5830543,0.60567945,0.16818951,0.056764726,0.067717895,0.071107835,0.09573783,0.11402674
