district,total_weight_district,m_justify_beating_goes_out,m_justify_beating_neglect_kids,m_justify_beating_argues,m_justify_beating_refuses_sex,m_justify_beating_burns_food,m_num_control_issues,m_ever_humiliated_hp,m_ever_threatened_harm_hp,m_ever_insulted_hp,m_experienced_emotional_viol,m_pushed_shook_thrown,m_slapped,m_punched_hit_harmful,m_kicked_dragged,m_strangled_burnt,m_threatened_weapon,m_forced_unwanted_sex,m_forced_other_unwanted_sex,m_arm_twisted_hair_pulled,m_forced_unwanted_sexual_acts,m_experienced_less_severe_phys,m_experienced_severe_phys_sex,m_experienced_any_physical_viol,m_experienced_any_sexual_viol,m_injury_broken_bones_teeth,m_injury_deep_wounds_bleeding,m_injury_head_internal,m_injury_wounds_brokenbones,m_injury_severe_burns,m_experienced_any_listed_injury,m_respondent_physically_hurt,m_freq_hurt_hp_last12m,m_hp_drinks_alcohol,m_freq_hp_drunk,m_freq_hit_last12m_non_hp,m_hp_hurt_during_pregnancy,m_not_hurt_during_pregnancy,m_father_beat_mother,m_hp_jealous_other_men,m_hp_accuses_unfaithful,m_hp_limits_female_friends,m_hp_limits_family_contact,m_hp_insists_know_where_is,m_hp_no_trust_money
kupwara,131161360,0.26008165,0.22965498,0.21232544,0.24530374,0.060873803,0.2224769,0.10031041,0.012054022,0.077757187,0.075040646,0.069013625,0.10906269,0.07231538,0.14463079,0.025133722,0.018521477,0.10524375,0.090260357,0.0174958,0.1644588,0.095838197,0.075549126,0.10273871,1.8457164,0.005441778,0.033436805,0,0.009328769,0.015287749,0.042697545,0.036670532,0.067899287,0.015872983,0.025718953,0.062571384,0.021899987,0.61686462,0.23152016,0.12415643,0.022848086,0.025201751,0.030126328,0.009260738,0.010883556
badgam,118174320,0.3187626,0.28868124,0.19114903,0.079755411,0.04808984,0.19876432,0,0.023431588,0,0.011715794,0,0.082735091,0,0,0.003994548,0,0,0,0.024061758,0,0.049763884,0.003994548,0,1.1631333,0,0,0,0,0,0,0.013858045,0.027716089,0.003994548,0.007989097,0,0.00893607,0.51022887,0.061519906,0.057082251,0.040424932,0.023095889,0.02793706,0.017053036,0.033171151
leh(ladakh),125616312,0.21666566,0.19331422,0.22178146,0.182326,0.1313282,0.68993974,0.21072769,0.093126893,0.082760699,0.15302302,0.097295165,0.11882481,0.071172096,0.095814735,0.053735711,0.0388228,0.13742438,0.1083662,0.084061421,0.12794888,0.12978697,0.078519866,0.10123034,3.5549238,0.018974423,0.025521694,0,0.012514434,0.025521694,0.044988941,0.049287308,0.098574616,0.284686,0.46335301,0.009227862,0,0.63645327,0.32224157,0.17691292,0.095310934,0.074126959,0.087404102,0.15285851,0.10332636
kargil,109161160,0.40671033,0.41367283,0.31742996,0.16283922,0.068730794,0.68169463,0.15361959,0.047363605,0.038341496,0.093215056,0.018873032,0.11560948,0.011637107,0.046730146,0,0,0,0,0,0,0.058223091,0.026373766,0,0.16046986,0,0,0,0,0,0,0.031064492,0.038064584,0.023943022,0.042067491,0.024003593,0,0.62953937,0.20725049,0.21819973,0.074887395,0.098115169,0.058691341,0.10951479,0.12228617
punch,94302928,0.30525622,0.27572072,0.25100097,0.079949945,0.057258807,0.47909436,0.052127641,0.045251276,0.024387365,0.058123264,0.076827899,0.075482078,0.011824765,0,0,0,0.044547971,0,0.045948096,0.034121081,0.081896491,0,0.039334524,0.755292,0,0.005873105,0,0,0,0.005873105,0.022273986,0.044547971,0.02233672,0.044673439,0,0.005275053,0.61315876,0.37732276,0.36204806,0.052684672,0.068807535,0.065711319,0.13549753,0.081529051
rajouri,155943200,0.49881136,0.52265894,0.50182736,0.44650733,0.39365202,0.28489903,0.029865259,0.057310604,0.1042058,0.10358211,0.12781928,0.14677164,0.14858802,0.10179241,0.054413229,0.050589304,0.086440079,0.1153412,0.14640479,0.082240701,0.13051413,0.070281439,0.073981188,2.6155818,0.045403898,0.018655311,0,0.013058716,0.026847359,0.045403898,0.020422064,0.027785411,0.074910581,0.13228385,0.009609159,0.019212868,0.61466587,0.11385304,0.046549827,0.042965118,0.027785411,0.047124479,0.05284556,0.067628615
kathua,115875752,0.22602941,0.13795257,0.14970687,0.14536214,0.16034579,0.70130318,0.037948545,0.007474316,0.037948545,0.02271143,0.065060243,0.038375355,0.093925156,0.050151147,0,0,0,0,0.057660483,0,0.069381014,0.025075573,0,0.97844684,0.025075573,0,0,0,0,0.025075573,0.031725463,0.063450925,0.13296202,0.26592404,0,0,0.66353881,0.08435224,0.10365597,0.061138976,0.21862569,0.049720541,0.041975081,0.2261869
baramula,223620000,0.55109334,0.44823101,0.34173137,0.58248502,0.2020434,0.38064533,0.021359574,0.059598166,0.045764193,0.051163383,0.070993125,0.056473512,0.012316358,0.035420798,0.006158179,0.023083856,0.025388516,0.016925678,0.049485065,0.010220088,0.052776486,0.030201856,0.013572883,0.1466226,0.006158179,0.019731062,0,0.013572883,0.011268223,0.019731062,0.053968076,0.10177797,0,0,0.099405251,0.011994781,0.48075169,0.21401134,0.098393783,0.047038119,0.081337258,0.04924988,0.047143951,0.057482339
bandipore,69011168,0.35577145,0.38787526,0.42478997,0.3476249,0.21616209,0.62892777,0.081687532,0.039262455,0.064576127,0.054920632,0.052397519,0.053395968,0.011312054,0.030274592,0,0,0.04266566,0,0.02259556,0.04266566,0.036387227,0.011976874,0.014221886,0.035805479,0,0,0,0,0.005656027,0.005656027,0.014221886,0.028443772,0,0,0.03200911,0,0.62295389,0.28280547,0.18256344,0.10648291,0.082659014,0.097734228,0.072182842,0.08730536
srinagar,239232448,0.26392758,0.24003202,0.25264263,0.12266983,0.096486792,0.15899819,0.0730009,0,0.014475779,0.043738339,0,0.012984342,0.03650045,0.054750673,0,0,0,0,0.027460121,0,0.031980287,0.018250225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53493166,0.40624243,0.039281763,0.026430884,0.018250225,0.024804821,0.024742397,0.025488114
ganderbal,51030440,0.4633235,0.48565555,0.53400701,0.37850398,0.33532363,0.38445979,0.13129359,0.058735393,0.024619855,0.088045374,0.034752376,0.08039435,0,0.010809744,0,0,0,0.010809744,0.049582876,0.010809744,0.039801225,0.005404872,0.005404872,0.10967421,0,0,0,0,0,0,0.005404872,0,0,0,0.061832879,0.011584125,0.64881814,0.04143472,0.14772169,0.042538766,0.055175811,0.044782624,0.044743568,0.049497299
pulwama,89631112,0.1728548,0.21209671,0.16177033,0.10466611,0.068513907,0.17742385,0.006092918,0,0.011346328,0.011766082,0.023612047,0,0,0,0,0,0,0,0,0,0.011806023,0,0,0.047224093,0,0,0,0,0,0,0,0,0,0,0,0,0.49796316,0,0.078955933,0.019569645,0.025822563,0.01389648,0.007803563,0.031375669
shupiyan,40757472,0.19241317,0.15171829,0.23322278,0.14209746,0.16421951,0.19733471,0.074377231,0.05450711,0.06444747,0.08347863,0.033896409,0.057144318,0.024064202,0.006270703,0.04271001,0.027625708,0.030334905,0.030111067,0.021355005,0.059624799,0.045011058,0.028897155,0.042710893,3.0527713,0.010677502,0.007542151,0,0.010677502,0,0.018219654,0.004707898,0.004707898,0.00975134,0.019502681,0.042763937,0.014759306,0.57600492,0.039747339,0.08799167,0.022001389,0.033661336,0.00975134,0.034895074,0.009033902
anantnag,186498816,0.37118319,0.36973503,0.16669866,0.066491172,0.087490715,0.13584058,0.013364739,0.012753433,0.012753433,0.013059085,0,0.04853671,0,0.03596887,0.01199524,0,0,0,0,0,0.020048143,0.023982055,0,0.099676535,0,0,0,0,0,0,0,0,0,0,0.029116828,0,0.48554012,0.17758079,0.1029379,0.012749898,0,0.006565495,0.007589662,0.00599762
kulgam,97236320,0.31001016,0.33091339,0.3300083,0.097591579,0.049165331,0.16837148,0.014675226,0.0053975,0.023564456,0.019119842,0.019600146,0.008805146,0,0,0,0,0,0,0,0,0.009800073,0,0,0.11078558,0,0,0,0,0,0,0.010142085,0.009277727,0,0,0,0,0.58125448,0.032610457,0.037543163,0.01930505,0.025723711,0.010036363,0.019799598,0.055963606
doda,73286408,0.37870514,0.39557377,0.38792649,0.19357882,0.26421505,0.19746421,0,0.013069217,0.007786737,0.014321346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019188743,0.038377486,0.02037794,0.033447158,0.091997467,0,0.73237258,0.10013647,0.082079761,0.006826286,0.047902212,0.034388054,0,0.026267899
ramban,63990640,0.17585184,0.18925089,0.15973696,0.090058967,0.056156948,0.55547774,0.061144441,0.017262025,0.047345173,0.054244809,0.028384244,0.16222036,0.038413338,0.069091246,0,0.021600222,0.028384244,0.022823134,0.028962938,0.049673639,0.11145245,0.052661076,0.044590052,0.19614716,0.011700914,0.011700914,0,0.011700914,0,0.011700914,0.016723493,0.010045157,0.10041443,0.14309795,0,0.022215733,0.6125831,0.067349784,0.13824451,0.033426326,0.068026386,0.054567385,0.092055134,0.169158
kishtwar,55660248,0.33442682,0.32655621,0.36937982,0.18626936,0.12552346,0.32339093,0.052298151,0.039223611,0.039223611,0.039223611,0.052298151,0.065372691,0.039223611,0.039223611,0.013074538,0.039223611,0.039223611,0.013074538,0.039223611,0.039223611,0.039223611,0.026149075,0.026149075,0.039223611,0,0,0,0.013074538,0,0.013074538,0.004821287,0.004821287,0.032395687,0.058544762,0.03082189,0.013074538,0.60888219,0.57356209,0.18868543,0.038079582,0.038079582,0.038079582,0.050866392,0.078658313
udhampur,117842136,0.2397875,0.39998332,0.31543791,0.35719943,0.093670532,0.34173962,0.099671304,0.034633148,0.033622269,0.073947474,0.085531235,0.21589828,0.041593984,0.048686933,0.041660547,0.067499116,0.074117362,0.074884742,0.095459707,0.098639049,0.15092425,0.057246968,0.07899411,2.5691037,0.040167619,0.006943425,0,0,0.013873595,0.047111042,0.00521137,0.01042274,0.20498949,0.30762359,0.10726482,0.006946811,0.69564986,0.062297411,0.073367178,0.032600172,0.075734869,0.063598454,0.054515611,0.04192334
reasi,62285992,0.4445357,0.41666469,0.46359655,0.35221955,0.29474106,0.32277721,0.12430342,0.030076072,0.07916528,0.069389164,0.040121045,0.039284404,0.022975374,0.015874676,0.022975374,0.03801341,0.015874676,0.030076072,0.015874676,0.007937338,0.023192551,0.022138733,0.015038036,0.052431982,0,0,0,0.007937338,0,0.007937338,0.014545534,0.022482872,0.046830755,0.093661509,0.042071354,0.007937338,0.67812896,0.24798816,0.14453614,0.030469371,0.030469371,0.023368673,0.045724582,0.048209056
jammu,316273120,0.29538995,0.34926412,0.32617125,0.17814529,0.12509884,0.23375894,0.034668155,0.031576011,0.038509645,0.0365889,0.036881223,0.056053698,0.01770875,0.01770875,0,0,0.01770875,0,0.01770875,0,0.021636024,0.008854375,0.008854375,1.5122023,0,0,0,0,0,0,0.014176216,0.028352432,0.18953061,0.34867033,0,0,0.6522305,0.19489321,0.079007171,0.037706129,0.037163321,0.021375317,0.028851753,0.029655268
samba,60629736,0.22219802,0.24780308,0.19033824,0.096489914,0.084643073,0.27796295,0.088295043,0.015112717,0.023027215,0.055764519,0.053215701,0.037726372,0.015112717,0.030602047,0,0,0.015489331,0.015489331,0.030602047,0.015489331,0.030376794,0.015301024,0.007744665,0.022820435,0,0,0,0,0,0,0.019813742,0.039627485,0.14964531,0.22162083,0.015075771,0,0.71324664,0.083595037,0.14782785,0.014219326,0.038411003,0.031079898,0.023089644,0.023335233
chamba,79401872,0.010930019,0.16091748,0.055727236,0.025235904,0.018934038,0.67082387,0.037811201,0,0.10217784,0.051088922,0.13702103,0.14434138,0,0,0,0,0.012603733,0.012603733,0.06851051,0,0.097108148,0,0.012603733,0.25189391,0.02493746,0,0,0,0,0.02493746,0,0,0.21606377,0.36329529,0.037868075,0,0.76281315,0.23814996,0.20514427,0.006301866,0.16491324,0,0.092188403,0.24969906
kangra,342532864,0.16916275,0.22520728,0.18474852,0.26954579,0.15640458,0.27787629,0.0662186,0,0.054994874,0.040239241,0.009333741,0.071012855,0.037071194,0.037589733,0,0,0.014887523,0.014887523,0.032663591,0.022331284,0.030905498,0.023461737,0.007443762,0.75308228,0.009201855,0,0,0,0,0.009201855,0.009333741,0.018667482,0.22507402,0.33320925,0,0,0.49338067,0.034636278,0.10006416,0.009201855,0.040871792,0.022541551,0.04893332,0.15396827
lahul & spiti,3373876,0.10382777,0.075423338,0.10520156,0.009412913,0.11077645,0.81076747,0.092797719,0.022783291,0.022783291,0.060739636,0.045566581,0.15066588,0.04120009,0.0184168,0,0,0.034704298,0.0184168,0.063983381,0.036833599,0.070728742,0.0092084,0.026560549,1.4168689,0.020600045,0,0,0,0,0.020600045,0.012643619,0.025287237,0.51178616,0.78486878,0.033770062,0.0092084,0.87278372,0.23023164,0.34982288,0.067121319,0.07402584,0.072083265,0.094280884,0.15343332
kullu,61510988,0.075858898,0.12196036,0.039322875,0.017959995,0.01677024,0.61122376,0.027525488,0.057746559,0.027525488,0.02887328,0.083255723,0.075933233,0.057746559,0.027525488,0.027525488,0,0.056048881,0,0.027525488,0.027525488,0.056738399,0.013762744,0.023270542,0.16042633,0.013762744,0,0,0,0,0.013762744,0,0,0.32042146,0.44220087,0.015416595,0,0.85946023,0.29424804,0.089594759,0.021332253,0.18336488,0.055142295,0.084267907,0.17752165
mandi,159347392,0.046198849,0.094702296,0.13443212,0.039947324,0.058818251,0.6136623,0.13644008,0,0.10517748,0.068005942,0.18228589,0.19919756,0.12185086,0.093746141,0.051469021,0.04270152,0.037465885,0.02388715,0.18367755,0.020792503,0.12503231,0.050479952,0.030676518,1.7567784,0.066152714,0.014003134,0,0.036901221,0.007213767,0.066152714,0.035353895,0.020792503,0.42883834,0.60018295,0.02135076,0.006789368,0.88308591,0.11022642,0.29035765,0.030406196,0.10283639,0.088809207,0.076240435,0.1578863
hamirpur,80108296,0.037579056,0.12546737,0.055839635,0.12176555,0.00797262,0.93752128,0.007883603,0.014587129,0.022814941,0.022642836,0.13193804,0.030354334,0.014587129,0.014587129,0,0,0.014587129,0.014587129,0.12171154,0.014587129,0.067293555,0.007293564,0.007293564,4.232666,0.028156497,0,0,0,0,0.028156497,0.015177167,0.030354334,0.245592,0.29536882,0,0.007293564,0.7233302,0.02302151,0.24981098,0.024413327,0.22617054,0.093049288,0.19395252,0.37107933
una,84697808,0.052522328,0.11580994,0.11901191,0.072992466,0.037450757,0.45600528,0.12272986,0,0.096948333,0.056521025,0.11041032,0.20533806,0.1079461,0.062982902,0.043459281,0,0.088702507,0,0.075124092,0.038159359,0.093918487,0.036717374,0.041533295,0.12119228,0.038410734,0.009009856,0,0,0,0.038410734,0,0,0.3241221,0.45817819,0,0,0.70725733,0.20371059,0.14550696,0.025506103,0.097719662,0.068149902,0.087858826,0.098208211
bilaspur,57024136,0.050878998,0.10246304,0.050949391,0.032406557,0.062241048,0.6923359,0.14859666,0.086524278,0.13689157,0.10783867,0.15546174,0.21112676,0.11688393,0.1352824,0.031982459,0.020081444,0.058780093,0.062050551,0.20396017,0.032654174,0.12379321,0.066925384,0.044159826,1.5368395,0.053804286,0.006693815,0,0,0.012572729,0.053804286,0,0,0.40135366,0.57334507,0,0.006837,0.82011878,0.23328441,0.28071797,0.049534798,0.058558572,0.058089349,0.1119578,0.13347745
solan,99654168,0.14223859,0.076355785,0.074343622,0.056502324,0.10252421,0.39683577,0.20704135,0.005491572,0.048874222,0.10352068,0.031772248,0.099335,0,0,0,0,0,0,0.043232191,0,0.053004354,0,0,0.22651549,0,0,0,0,0,0,0.00667371,0,0.35620639,0.53877938,0.038134921,0,0.8329156,0.056318596,0.27900493,0.028289806,0.043956626,0.033017185,0.06271901,0.021616096
sirmaur,85972864,0.045621511,0.092856787,0.05188743,0.039093543,0.039315719,0.5761084,0,0.023945695,0.012970581,0.018458137,0,0.023945695,0,0,0,0,0,0,0,0,0.011972847,0,0,0.011972847,0,0,0,0,0,0,0,0,0.1837299,0.22750114,0,0,0.80531353,0.5890696,0.1034711,0.0254126,0.14894472,0,0.057366986,0.24091299
shimla,148592384,0.033200935,0.041639093,0.009245003,0,0,0.31856203,0.025509221,0.058081031,0.040624399,0.038885687,0.066133618,0.086445816,0.022672763,0,0,0,0,0,0.022672763,0,0.033066809,0,0,0.025509221,0.007557588,0,0,0,0,0.007557588,0.020312199,0.025509221,0.25501868,0.36723402,0,0,0.73918289,0.17574352,0.10249055,0.012754611,0.048591502,0.012754611,0.063931257,0.078039505
kinnaur,13098725,0.06194099,0.14276519,0.022106502,0.014484845,0.051060542,0.56605148,0.070075065,0.046877235,0.084596097,0.054306887,0.074688189,0.20914379,0.084596097,0.12112004,0.052649092,0.02896969,0.071043096,0.046877235,0.12112004,0.06136208,0.085185848,0.052940268,0.039146252,0.32294464,0.054306887,0.014484845,0,0.02319783,0,0.054306887,0.029724343,0.014484845,0.48590675,0.74750561,0.046084944,0.045593902,0.80986625,0.096510611,0.15374038,0.068895712,0.10452368,0.037700769,0.052828576,0.14836238
kapurthala,70821552,0.17620239,0.16371809,0.15138198,0.073824376,0.098880835,0.6556769,0.11900669,0.019526344,0.13212955,0.087305173,0.14000382,0.29388157,0.057262626,0.06531173,0.008049103,0,0.04428748,0.017215861,0.076285139,0.017215861,0.13225909,0.029786555,0.019274428,0.30431482,0.10201509,0.008049103,0,0.012073656,0,0.10201509,0.017812276,0.035624553,0.14914007,0.26138496,0.060606241,0.011477226,0.67544872,0.1023029,0.18637584,0.17568196,0.19021845,0.12041419,0.096048586,0.070573471
jalandhar,156184192,0.051831249,0.065284632,0.32454202,0.28870296,0.025036899,0.25568217,0.072765253,0.022153324,0.094620235,0.069632888,0.032018792,0.14846517,0.013649345,0,0,0,0.013607005,0.013607005,0.013649345,0.013607005,0.074255683,0,0.013607005,1.2116919,0.029278187,0,0,0.007384441,0,0.029278187,0,0,0.28737426,0.42172268,0.030198267,0,0.72797668,0.070898086,0.14102416,0.061902948,0.020302203,0.040453147,0.071678251,0.028606724
hoshiarpur,141615040,0.10105123,0.11887708,0.18775401,0.10989989,0.042486612,0.67512637,0.10166819,0.14193852,0.20918213,0.13937172,0.17038371,0.23023376,0.086660035,0.12962106,0.04136144,0.010537737,0.063387573,0.079769127,0.15511717,0.077679604,0.14377975,0.064810529,0.054741129,1.3968688,0.076339819,0.031218451,0,0.039304513,0,0.081608683,0.016281936,0.032563873,0.1513752,0.24294256,0.04234039,0,0.69685549,0.36513874,0.14814363,0.086711489,0.12702896,0.070124641,0.110344,0.13277364
shahid bhagat singh nagar,43712960,0.12715442,0.13261132,0.15327652,0.1434866,0.086154588,0.61447728,0.22090364,0.12026116,0.19874074,0.1036593,0.2164472,0.38254547,0.079832092,0.067129403,0,0,0.018716028,0.018716028,0.19665165,0.018716028,0.20092317,0.030445365,0.006238676,2.0241287,0.10967281,0.011369694,0,0.033082638,0,0.10967281,0.013062145,0.026124289,0.1836554,0.28392848,0.051519208,0,0.7629903,0.38774061,0.11204117,0.10153529,0.12763336,0.063210703,0.11572822,0.094328545
fatehgarh sahib,52182304,0.10926041,0.11352184,0.13004826,0.10905793,0.085616589,0.38898098,0.096128121,0.087224975,0.15852526,0.07979358,0.10357966,0.19527997,0.047973733,0.047973733,0,0,0.092074588,0,0.10357966,0,0.096140467,0.023986867,0.03404386,4.1692615,0.053681992,0.023986867,0,0.023986867,0,0.053681992,0,0,0.16183895,0.267557,0.013792147,0,0.70853889,0.051517904,0.12359148,0.041676044,0.075879648,0.082742453,0.058560275,0.050578486
ludhiana,276481120,0.22400762,0.26726764,0.24709272,0.29321867,0.24885182,0.33585215,0.048953667,0.005331174,0.04780243,0.046329785,0.05488278,0.055784088,0.034820825,0.05488278,0,0.014758874,0.019472403,0.045435607,0.045121741,0.012981603,0.043073475,0.02744139,0.019472403,0.72868931,0.007379437,0.007379437,0,0,0.007379437,0.007379437,0.033806607,0.067613214,0.32391369,0.57774907,0.25480962,0.020061953,0.74198806,0.53916425,0.16337486,0.026552754,0.069454938,0.020061953,0.061719324,0.15046753
moga,78148360,0.11276608,0.053197328,0.095101178,0.038395561,0.026392058,0.14944172,0.039273068,0.041770127,0.017359199,0.032421242,0.2068541,0.27302215,0.074951403,0.024723923,0,0,0.049371287,0.018629156,0.11218122,0.062923409,0.1447091,0.012941743,0.029970419,2.2040348,0.022899661,0.007050654,0,0,0,0.022899661,0.014745888,0.012010181,0.3156096,0.51470858,0,0,0.75926238,0.23526186,0.064167961,0,0.00653443,0.00589109,0.060084421,0.012763812
muktsar,72470128,0.26368546,0.17020883,0.17289285,0.16775852,0.10852356,0.47570515,0.062587261,0.070882395,0.15322091,0.068399958,0.13640253,0.1327973,0.10501595,0.069814242,0.065682031,0.005212175,0.040498286,0.067834422,0.12285752,0.040498286,0.082374342,0.05207685,0.047201339,0.22615658,0.056866698,0,0,0.027100669,0,0.056866698,0.008101394,0.016202787,0.30947602,0.43197647,0,0.007226978,0.74066097,0.34602317,0.10060318,0.038061157,0.1004474,0.099168859,0.072857082,0.064567469
faridkot,42738132,0.20444389,0.1807721,0.091738336,0.10560988,0.033283718,0.42517936,0.074008614,0.10737187,0.060846951,0.071020275,0.071856208,0.28419587,0.054953828,0.027229736,0.021478314,0,0.083997071,0.033583544,0.068330407,0.027229736,0.15158613,0.020774305,0.041998535,1.8203405,0.013538799,0.013640419,0,0.013640419,0.014420494,0.020799857,0.012733173,0.012707622,0.33000061,0.53761667,0.014522114,0.015544315,0.80181605,0.24758978,0.1598348,0.11836282,0.047896642,0.062077444,0.0632153,0.075862162
bathinda,125713456,0.33273798,0.41293761,0.32452685,0.24193174,0.20790796,0.81170684,0.15507238,0.041019633,0.07138823,0.11252873,0.12311987,0.19673923,0.093501754,0.083089776,0.068864986,0,0.060338203,0.046731021,0.10059711,0.046731021,0.1129777,0.055104166,0.030169101,0.39503029,0.074679486,0.05410213,0,0.005801559,0,0.080435954,0.036176022,0.06403742,0.36293578,0.50587201,0.033524819,0,0.72591287,0.9244777,0.22445467,0.13920096,0.14446443,0.075747602,0.15425326,0.16641086
mansa,62380288,0.45392412,0.4113636,0.52231377,0.64077318,0.37684202,0.59382808,0.099380963,0.036977708,0.035717309,0.066053592,0.085160442,0.22457586,0.05662138,0.056078773,0.024539033,0,0.027898621,0.047052588,0.085160442,0.03600166,0.10608197,0.03401456,0.029323062,3.2920561,0.029999044,0.021940537,0,0.012475368,0,0.040888652,0.018948117,0.012945499,0.22690295,0.33817542,0.089988969,0.018272134,0.7783547,0.080501519,0.36840943,0.09953101,0.14628693,0.097766891,0.1383023,0.1433713
patiala,197042864,0.2991989,0.07764025,0.094920158,0.19626251,0.056219701,0.11404935,0.019342868,0.009520203,0.009822665,0.009671434,0.019342868,0.046178184,0.019342868,0,0,0.009822665,0.009520203,0,0.019342868,0,0.023089092,0.004911332,0.004760101,0.018177761,0.004911332,0.009671434,0,0,0,0.009671434,0,0,0.093180232,0.15753393,0,0,0.64932698,0.087856196,0.072547689,0.004911332,0,0.004911332,0.009671434,0.022007562
amritsar,206520624,0.2571682,0.18804987,0.25801608,0.30101779,0.085826278,0.50526613,0.094934344,0.05570177,0.10348009,0.060749739,0.064892218,0.18925656,0.054029327,0.039488878,0,0,0.025403341,0.025403341,0.064892218,0.025403341,0.094628282,0.019744439,0.012701671,0.1098464,0.041457675,0.024030758,0,0,0,0.058331937,0.039885841,0.065458693,0.1988274,0.29345185,0,0.019858167,0.74142623,0.4984611,0.2280551,0.027721841,0.10182565,0.078597292,0.079410031,0.12108766
tarn taran,74786448,0.181317,0.17006953,0.16231441,0.04111388,0.063005842,0.16772439,0.026805686,0.015721217,0.007860608,0.013402843,0.047376845,0.058461312,0,0.015721217,0,0,0.016626703,0,0.032347921,0,0.026574921,0.007860608,0.005542234,0.040883251,0,0,0,0,0,0,0,0,0.16531038,0.23821653,0.096957006,0,0.79727578,0.039954484,0.10904093,0.06501092,0.088580236,0.092379369,0.097920924,0.10485754
rupnagar,48515248,0.078603104,0.11385965,0.10756253,0.007859468,0.18192197,0.071649246,0,0,0,0,0.00752617,0,0,0,0,0,0,0,0,0,0.00752617,0,0,0,0,0,0,0,0,0,0,0,0.056633018,0.060873646,0.009648884,0,0.6545276,0,0.035709906,0,0.01796967,0.01796967,0,0
sahibzada ajit singh nagar,66810956,0.097076893,0.064541809,0.085792474,0.011151016,0.021378679,0.22247119,0.062554829,0,0.062554829,0.031277414,0.06705188,0.19066179,0.043600872,0.022302032,0,0,0,0,0.13866001,0,0.08872091,0.011151016,0,1.256091,0.032401677,0,0,0,0,0.032401677,0,0,0.22934343,0.29313967,0.020053508,0,0.77769095,0.009539708,0.055578265,0.011223908,0.04242843,0.051732741,0.031277414,0.030230431
sangrur,143480800,0.28914452,0.25715828,0.40169501,0.31198704,0.23275079,0.90230548,0.12007079,0.050178066,0.061829902,0.082073122,0.12795527,0.27255827,0.075681359,0.075681359,0,0.050869014,0,0,0.12795527,0.025114078,0.11567671,0.041768681,0.012557039,1.7876329,0.048504315,0.016956339,0,0.023691971,0,0.048504315,0.024812344,0.024812344,0.13456742,0.16899231,0,0.012557039,0.72723383,0.02765614,0.42632622,0.030797061,0.17022924,0.1579766,0.2354991,0.15277866
barnala,57448032,0.092349343,0.064526357,0.087013967,0.042325627,0.042024102,0.14983077,0.009596674,0,0.016729381,0.013163027,0.15131949,0.26578254,0.060314998,0.008911532,0,0,0.024890043,0.007817849,0.067544803,0.024890043,0.11020858,0.004455766,0.016353946,0.86762214,0.030344173,0.022339651,0,0.026248576,0,0.030344173,0.024364751,0.048729502,0.22765832,0.31871352,0,0.003908924,0.72605431,0.6294654,0.064783789,0.004798337,0.004894807,0,0.030860692,0.04449315
chandigarh,85357112,0.058578081,0.063630678,0.050312258,0.024060139,0.016953116,0.26937571,0.020094329,0,0.057503983,0.038799156,0.051064827,0.12771119,0.051064827,0.035579577,0,0,0.020094329,0.020094329,0.051064827,0.020094329,0.083949924,0.027836954,0.020094329,1.0632313,0.027836954,0.020094329,0,0.020094329,0,0.027836954,0,0,0.15878576,0.22029103,0,0,0.8263396,0.14497362,0.076395907,0.030030373,0.027641622,0.069397241,0.045816228,0.020094329
uttarkashi,44376200,0.024741437,0.057233989,0.055758875,0,0,0.38483348,0.061959248,0.061348829,0.061959248,0.045814242,0.12708531,0.32459036,0,0,0,0,0,0,0.018610021,0,0.12224726,0,0,2.1839066,0,0,0,0,0,0,0.029897468,0.059794936,0.32467231,0.4723216,0.039447833,0,0.79206204,0.14872301,0.19870588,0.010499028,0.057901196,0.028149031,0.037385695,0.05219264
chamoli,49643168,0.27295285,0.13190782,0.24147935,0.26075456,0.10637937,0.33728212,0.06386365,0.03911664,0.032777119,0.03911664,0.070840463,0.085199781,0.039427783,0,0,0,0.012271659,0.027924487,0.043535557,0.027924487,0.056108605,0,0.013962244,0.15824151,0.007006765,0.006135829,0,0.012475352,0,0.019482117,0,0,0.20147868,0.16705875,0.02340745,0.007812495,0.74903506,0.11553673,0.085276127,0.041256856,0.057066564,0.096929468,0.091953158,0.043118238
rudraprayag,32006718,0.078478307,0.040776625,0.042095568,0.042095568,0.048248526,0.40132788,0.044018976,0,0.071539603,0.037900198,0.044872422,0.083097555,0.050471842,0.050471842,0,0,0,0,0.050471842,0,0.031926796,0.01869042,0,0.6678881,0.01869042,0,0,0.01869042,0,0.01869042,0.005599418,0,0.27626789,0.36550602,0,0.013091002,0.86792701,0.21082374,0.11935785,0.036925748,0.065917164,0.060590498,0.045890961,0.072645657
tehri garhwal,69462856,0.043555219,0.032578044,0.054292385,0.05088662,0.06476637,0.41337362,0.25053486,0.16215956,0.21842103,0.17479832,0.23881692,0.27073884,0.1368306,0.099639714,0.054510385,0,0.011094476,0,0.23938441,0.011094476,0.19293246,0.048801016,0.005547238,1.4485013,0.024694925,0.007916302,0,0.049052346,0,0.065960072,0.018332502,0.036665004,0.37392089,0.45228252,0.078454912,0.007787198,0.82519382,0.53296065,0.13532068,0.071708456,0.047014665,0.034036003,0.058453184,0.066840626
