district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents,m_mean_age,m_mean_yrs_edu,m_literacy_rate,m_urban_share,m_pct_sc,m_pct_st,m_pct_obc,m_pct_general,m_mean_wealth_idx,m_mean_hh_size,m_pct_married,m_pct_owns_mobile,m_pct_uses_internet,m_pct_currently_working,m_n_respondents,total_respondents,mean_age,urban_share,pct_sc,pct_st,pct_obc,pct_general,mean_hh_size,mean_wealth_idx,dd_mobile_own_5,dd_mobile_own_4,dd_gap,treatment_status,f_mean_bf_dur_c1
davanagere,26.92307854,karnataka,24.197586,31.526026,1.6653367,7.9452724,83.392899,22.758808,14.164248,9.9623423,49.243782,296583.5631,3.2151721,37.306385,62.693619,5.2792525,72.716316,6.6163225,59.207726,27.72081,1203.142907,31.72821,9.3666248,76.300011,33.015499,18.101593,13.327944,60.388191,8.1822701,136181.48,4.8996143,55.084332,83.405312,0.0,81.000153,254.5803658,1457.7232728,31.561335909390444,36.55701415035454,21.94546055578181,14.018193819338505,51.19006890697599,9.651466127353077,5.212951554113329,23785.72116674262,24.197586,51.378006,-27.18042,treated,71.282661
debagarh,46.15384674,odisha,36.919426,31.151903,1.4820945,6.7289062,77.051979,23.734303,28.283346,7.9952917,39.504856,-694391.9838,1.8690504,6.6143923,93.385605,4.252594,70.952477,6.3699441,49.783791,16.751707,168.6193851,33.24313,8.2940702,87.936089,14.655264,28.008112,41.182796,27.871058,2.9380291,-854551.81,4.4285927,65.144478,86.703217,0.0,72.05381,10.01943699,178.63882209,31.26919506962488,7.06538613437624,23.97401102920556,29.00684621663007,38.85234326703615,7.711641576416812,4.262465358668518,-47928.063769603,36.919426,64.003433,-27.084007,treated,81.567291
dehradun,14.21647835,uttarakhand,32.19915,30.311493,2.0049298,10.165074,88.352379,14.367218,5.6400957,46.35461,31.027767,1195130.124,4.4411035,55.213062,44.786934,5.4598722,67.010315,2.3110521,66.469078,40.426014,1073.082183,30.861259,11.140262,94.321762,43.359749,17.824802,8.3350163,30.032164,43.808018,1133601.8,5.329423,55.518211,98.668228,0.0,71.350136,57.70893371,1130.79111671,30.339549826040795,54.60813855830276,14.543672769500922,5.777628611216703,30.97695727335867,46.22464690890145,5.45321483939283,57856.58892433074,32.19915,37.824772,-5.625622,treated,62.711246
dehradun,14.21647835,uttarakhand,32.19915,30.311493,2.0049298,10.165074,88.352379,14.367218,5.6400957,46.35461,31.027767,1195130.124,4.4411035,55.213062,44.786934,5.4598722,67.010315,2.3110521,66.469078,40.426014,1073.082183,30.861259,11.140262,94.321762,43.359749,17.824802,8.3350163,30.032164,43.808018,1133601.8,5.329423,55.518211,98.668228,0.0,71.350136,57.70893371,1130.79111671,30.339549826040795,54.60813855830276,14.543672769500922,5.777628611216703,30.97695727335867,46.22464690890145,5.45321483939283,57856.58892433074,,37.824772,,not_treated,62.711246
deoghar,9.677418709,jharkhand,42.702274,29.233513,1.1147043,4.9599371,61.235416,13.461969,14.183746,15.269806,54.222126,-714253.6973,1.8317363,18.125902,81.8741,5.9928951,82.658806,2.3049259,45.316555,28.519371,812.8950319,32.244637,7.4839644,77.611252,15.731028,11.932424,14.182077,59.79665,14.08885,-637031.25,5.866447,74.308121,88.018829,0.0,80.294327,45.55291626,858.44794816,29.393296105911634,17.998819752312087,13.380804806585312,14.183657435728396,54.51793406326773,15.207139428439024,5.98618522350384,-33801.86561003557,42.702274,58.367546,-15.665272,treated,72.939064
deoria,4.054053783,uttar pradesh,35.340847,29.005558,1.5854752,7.9866805,74.841957,17.777834,5.2429581,12.335653,64.643555,54985.48299,2.8681436,12.294141,87.705856,6.5068955,65.62133,2.0949442,59.102749,24.559875,1814.284055,30.475285,10.063745,90.559341,17.859133,27.0935,6.4406066,53.310215,13.155678,174698.91,6.6196575,55.160999,94.443596,0.0,56.938046,102.4652923,1916.7493473,29.08412644029624,12.591633487857314,18.27582944265073,5.306981809619633,64.03769905046174,12.379489770538967,6.512923513681918,9341.742325393265,35.340847,50.448727,-15.10788,treated,74.853683
devbhumi dwarka,,gujarat,41.922314,30.181892,1.1732194,4.9754868,62.979134,15.977674,1.5736629,11.776126,70.417084,442644.7829,3.4173717,37.665157,62.334846,6.134656,70.886536,2.4688158,43.795383,44.451462,438.9454742,31.983049,6.6771703,69.837212,26.481501,10.84526,3.4252484,82.788719,2.9407735,472067.25,6.3004203,62.223183,85.717697,0.0,69.975403,104.8694814,543.8149556,30.52922779605508,35.50849655365019,14.987937346074665,1.9307233470385032,72.80283476532907,10.072313287385455,6.166622050209956,91036.38512229532,,,,,58.404896
dewas,24.72527504,madhya pradesh,51.486473,30.562513,1.458555,6.7211971,76.229126,19.582035,15.28159,17.888552,45.475731,77436.4206,2.9063253,32.398537,67.601463,5.7297626,75.299744,3.8977489,40.974152,39.268097,968.581181,31.100428,8.3919439,76.671288,28.188423,27.410534,19.799814,37.703442,15.086208,8349.5723,5.5123367,71.900696,92.460625,0.0,76.729233,70.37503847,1038.95621947,30.59894936575745,32.113359502468654,20.11230846866301,15.58763772545496,44.94926498812707,17.69873161766784,5.715034976458096,568.278501776695,51.486473,59.163513,-7.67704,treated,63.488678
dhalai,29.59183693,tripura,39.112698,30.494053,1.4467239,6.1544986,79.885529,21.679634,59.595776,4.9113331,13.124611,-725648.5854,1.7857029,13.444616,86.555389,4.2920551,78.140358,5.0473351,39.20042,17.863819,234.2951605,35.530098,7.251008,82.318062,16.403694,12.931678,59.933292,22.94458,4.1904521,-804187.31,4.4226656,76.57856,78.313118,0.0,87.905457,54.67257726,288.96773776,31.4468706449096,14.004472341844403,20.024524318952125,59.659633888529456,14.98254510020467,4.774942710978442,4.316766552937864,-152150.4607979979,39.112698,47.326897,-8.214199,treated,80.287712
dhamtari,36.45833588,chhattisgarh,37.820427,30.609379,1.7158586,8.2185869,86.708733,11.794697,20.613323,1.8251324,65.766846,132322.3433,2.9662888,19.178757,80.821243,5.697463,66.723289,4.3551016,44.765724,19.380449,542.904965,32.694756,8.9044037,84.632263,23.858397,18.919065,19.435839,57.321323,4.3237782,105316.2,4.9506493,60.864471,82.586151,0.0,67.251434,31.555877,574.460842,30.723931455623475,19.43581567736809,12.18604774816942,20.548642281042543,65.30292249903373,1.9623862452871024,5.656439557606489,5787.958417929109,37.820427,49.472347,-11.65192,treated,80.286018
