state_id,smdist,prop_internet_access,prop_mobile_access,gender
uttar pradesh,banda,0,.88177341,0
uttar pradesh,chitrakoot,0,.83236992,0
uttar pradesh,fatehpur,0,.89142859,0
uttar pradesh,pratapgarh,0,.875,0
uttar pradesh,kaushambi,0,.88571429,0
uttar pradesh,allahabad,0,.8699187,0
uttar pradesh,bara banki,0,.82608694,0
uttar pradesh,faizabad,0,.89051098,0
uttar pradesh,ambedkar nagar,0,.86153853,0
uttar pradesh,bahraich,0,.82945734,0
uttar pradesh,shrawasti,0,.88961047,0
uttar pradesh,balrampur,0,.87234044,0
uttar pradesh,gonda,0,.86842102,0
uttar pradesh,siddharthnagar,0,.92125982,0
uttar pradesh,basti,0,.91156465,0
uttar pradesh,sant kabir nagar,0,.93333334,0
uttar pradesh,mahrajganj,0,.91666669,0
uttar pradesh,gorakhpur,0,.92592591,0
uttar pradesh,kushinagar,0,.94202906,0
uttar pradesh,deoria,0,.94267511,0
uttar pradesh,azamgarh,0,.84931505,0
uttar pradesh,mau,0,.90476185,0
uttar pradesh,ballia,0,.89583331,0
uttar pradesh,jaunpur,0,.92045456,0
uttar pradesh,ghazipur,0,.91625613,0
uttar pradesh,chandauli,0,.8652482,0
uttar pradesh,varanasi,0,.84615386,0
uttar pradesh,sant ravidas nagar (bhadohi),0,.87288129,0
uttar pradesh,mirzapur,0,.91836733,0
uttar pradesh,sonbhadra,0,.8214286,0
uttar pradesh,etah,0,.81005585,0
uttar pradesh,kanshiram nagar,0,.87730056,0
bihar,pashchim champaran,0,.86238539,0
bihar,purba champaran,0,.89285713,0
bihar,sheohar,0,.88461536,0
bihar,sitamarhi,0,.89380533,0
bihar,madhubani,0,.85074633,0
bihar,supaul,0,.90909094,0
bihar,araria,0,.88235295,0
bihar,kishanganj,0,.91176462,0
bihar,purnia,0,.83962262,0
bihar,katihar,0,.86206895,0
bihar,madhepura,0,.9285714,0
bihar,saharsa,0,.94318181,0
bihar,darbhanga,0,.89189196,0
bihar,muzaffarpur,0,.96923077,0
bihar,gopalganj,0,.92708331,0
bihar,siwan,0,.88421053,0
bihar,saran,0,.89423084,0
bihar,vaishali,0,.90476191,0
bihar,samastipur,0,.88888896,0
bihar,begusarai,0,.86206895,0
bihar,khagaria,0,.89999998,0
bihar,bhagalpur,0,.90977442,0
bihar,banka,0,.91176462,0
bihar,munger,0,.92792791,0
bihar,lakhisarai,0,.90825689,0
bihar,sheikhpura,0,.90151513,0
bihar,nalanda,0,.87786263,0
bihar,patna,0,.91891891,0
bihar,bhojpur,0,.87162155,0
bihar,buxar,0,.90983605,0
bihar,kaimur (bhabua),0,.86301363,0
bihar,rohtas,0,.875,0
bihar,aurangabad,0,.89814812,0
bihar,gaya,0,.87074828,0
bihar,nawada,0,.92561978,0
bihar,jamui,0,.92929292,0
bihar,jehanabad,0,.85321099,0
bihar,arwal,0,.85858583,0
sikkim,north  district,0,.88990831,0
sikkim,west district,0,.93333334,0
sikkim,south district,0,.94736844,0
sikkim,east district,0,.98412704,0
arunachal pradesh,tawang,0,.94160587,0
arunachal pradesh,west kameng,0,.97604799,0
arunachal pradesh,east kameng,0,.83846152,0
arunachal pradesh,papum pare,0,.96478873,0
arunachal pradesh,upper subansiri,0,.87074828,0
arunachal pradesh,upper siang,0,.93233085,0
arunachal pradesh,changlang,0,.92592591,0
arunachal pradesh,lower subansiri,0,.95209581,0
arunachal pradesh,dibang valley,0,.9402985,0
arunachal pradesh,lower dibang valley,0,.95375729,0
arunachal pradesh,anjaw,0,.90400004,0
nagaland,mon,0,.91056913,0
nagaland,mokokchung,0,1,0
nagaland,zunheboto,0,.9222222,0
nagaland,wokha,0,.98958331,0
nagaland,dimapur,0,.98148149,0
nagaland,phek,0,.88356167,0
nagaland,tuensang,0,.9421488,0
nagaland,longleng,0,.92708337,0
nagaland,kiphire,0,.96842104,0
nagaland,kohima,0,.95454544,0
nagaland,peren,0,.9285714,0
manipur,senapati,0,.89166665,0
manipur,tamenglong,0,.91525424,0
manipur,churachandpur,0,.94285715,0
manipur,bishnupur,0,.89430892,0
manipur,thoubal,0,.88590604,0
manipur,imphal west,0,.96124029,0
manipur,imphal east,0,.92028987,0
manipur,ukhrul,0,.86315787,0
manipur,chandel,0,.89473683,0
mizoram,mamit,0,.96850395,0
mizoram,kolasib,0,.91240883,0
mizoram,aizawl,0,.92391312,0
