state_id,smdist,prop_internet_use_m,prop_mobile_own_m,prop_internet_use_f,prop_mobile_own_f,dd_internet_use,dd_mobile_own
rajasthan,dausa,0,.875,0,.33838382,0,.53661621
rajasthan,jaipur,0,.92929292,0,.53333336,0,.39595956
rajasthan,sikar,0,.91133004,0,.58373207,0,.32759798
rajasthan,nagaur,0,.92307693,0,.54615384,0,.37692308
rajasthan,jodhpur,0,.90794981,0,.60000002,0,.30794978
rajasthan,jaisalmer,0,.9156118,0,.56950676,0,.34610504
rajasthan,barmer,0,.90717298,0,.57758623,0,.32958674
rajasthan,jalor,0,.84455955,0,.56353593,0,.28102362
rajasthan,sirohi,0,.89473689,0,.4879227,0,.40681419
rajasthan,pali,0,.95597482,0,.68421054,0,.27176428
rajasthan,ajmer,0,.9383561,0,.55769229,0,.38066381
rajasthan,tonk,0,.91443849,0,.54010695,0,.37433153
rajasthan,bundi,0,.93157893,0,.3952381,0,.53634083
rajasthan,bhilwara,0,.91812867,0,.56804734,0,.35008132
rajasthan,rajsamand,0,.94736844,0,.5582822,0,.38908625
rajasthan,dungarpur,0,.88340807,0,.53191489,0,.35149318
rajasthan,banswara,0,.85882354,0,.30158731,0,.55723619
rajasthan,chittaurgarh,0,.91489363,0,.50666666,0,.40822697
rajasthan,kota,0,.95569623,0,.61413044,0,.34156579
rajasthan,baran,0,.88546258,0,.3918919,0,.49357069
rajasthan,jhalawar,0,.9039548,0,.33879781,0,.565157
rajasthan,udaipur,0,.91099477,0,.46969697,0,.4412978
rajasthan,pratapgarh,0,.81920904,0,.32142857,0,.49778047
uttar pradesh,saharanpur,0,.89617485,0,.40677965,0,.4893952
uttar pradesh,bijnor,0,.84831458,0,.39613527,0,.45217931
uttar pradesh,rampur,0,.91034484,0,.3548387,0,.55550611
uttar pradesh,jyotiba phule nagar,0,.94545454,0,.41,0,.53545451
uttar pradesh,meerut,0,.89349115,0,.52307695,0,.3704142
uttar pradesh,baghpat,0,.87684727,0,.45728645,0,.41956082
uttar pradesh,gautam buddha nagar,0,.95789468,0,.56074768,0,.397147
uttar pradesh,bulandshahr,0,.89999998,0,.49324325,0,.40675673
