district,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,n_obs_men,women_mobile_own,n_obs_women,digital_gap_ownership
kamareddy,0.95934552,0.20212092,0.95934552,0.20212092,105.089314,,,
siddipet,1,0.41510332,1,0.41510332,122.7205693,,,
baloda bazar,0.891352,0.14900678,0.891352,0.14900678,52.25253765,,,
peddapalli,0.95298785,0.45807263,0.95298785,0.45807263,107.2924113,,,
rajanna sircilla,0.98162884,0.42061797,0.98162884,0.42061797,60.82713655,,,
gomati,0.92186522,0.078324467,0.92186522,0.078324467,44.38953722,,,
bastar,0.76770365,0.22723535,0.76770365,0.22723535,31.76941688,,,
ahmadabad,0.981767,0.5195958,0.981767,0.5195958,831.4998403,,,
paschim barddhaman,0.86483383,0.044214226,0.86483383,0.044214226,425.3615386,,,
suryapet,0.97538716,0.24154952,0.97538716,0.24154952,130.4616805,,,
nagarkurnool,0.91424602,0.41130772,0.91424602,0.41130772,121.9219214,,,
longding,0.89103705,0.13898103,0.89103705,0.13898103,1.247048006,,,
yadadri bhuvanagiri,0.96273184,0.44615805,0.96273184,0.44615805,95.47706133,,,
mahisagar,0.797553,0.16066435,0.797553,0.16066435,133.4179914,,,
west siang,0.96928889,0.34041587,0.96928889,0.34041587,2.648746969,,,
wanaparthy,0.93595868,0.26747164,0.93595868,0.26747164,65.04948381,,,
namsai,0.89352912,0.2958031,0.89352912,0.2958031,3.427688979,,,
east siang,0.91555089,0.25207853,0.91555089,0.25207853,2.39003098,,,
north tripura,0.92107028,0.12940566,0.92107028,0.12940566,43.88727883,,,
nalgonda,0.99068093,0.42322257,0.99068093,0.42322257,191.253186,,,
south salmara mancachar,0.87789202,0.2201048,0.87789202,0.2201048,80.83107579,,,
pathankot,0.96604377,0.46829519,0.96604377,0.46829519,23.03906964,,,
sultanpur,0.86063558,0.17285731,0.86063558,0.17285731,76.0395433,,,
west tripura,0.92265391,0.076276802,0.92265391,0.076276802,140.1279192,,,
chhota udaipur,0.82048953,0.11419649,0.82048953,0.11419649,123.0654458,,,
new delhi,0.92857784,0.35539153,0.92857784,0.35539153,60.50294799,,,
