state,district,internet_5,mobile_5,gender_5,internet_use_m_5,mobile_own_m_5,internet_use_f_5,mobile_own_f_5,dd_internet_use_5,dd_mobile_own_5,State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,men_mobile_own_4,men_mobile_financial_4,men_mobile_own2_4,men_mobile_financial2_4,n_obs_men_4,women_mobile_own_4,n_obs_women_4,digital_gap_ownership_4
andhra pradesh,sri potti sriramulu nellore,0,0.47260273,1,0,0.88679248,0,0.47260273,0,0.41418976,28,9,117,59,7,51,24,0,27,18,59,41,0.87847286,0.36119547,0.87847286,0.36119547,410.5550227,0.5463993,376.5209857,0.33207357
andhra pradesh,srikakulam,0,0.96103895,0,0,0.96103895,0,0.58823532,0,0.37280363,28,1,133,84,4,45,12,0,33,27,84,57,0.96681225,0.25071627,0.96681225,0.25071627,278.1042731,0.64701611,241.3830683,0.31979614
andhra pradesh,srikakulam,0,0.58823532,1,0,0.96103895,0,0.58823532,0,0.37280363,28,1,133,84,4,45,12,0,33,27,84,57,0.96681225,0.25071627,0.96681225,0.25071627,278.1042731,0.64701611,241.3830683,0.31979614
andhra pradesh,visakhapatnam,0,0.90804595,0,0,0.90804595,0,0.65811968,0,0.24992627,28,3,147,88,9,50,18,0,32,51,88,37,0.90807635,0.36601728,0.90807635,0.36601728,537.733753,0.74653888,381.2097747,0.16153747
andhra pradesh,visakhapatnam,0,0.65811968,1,0,0.90804595,0,0.65811968,0,0.24992627,28,3,147,88,9,50,18,0,32,51,88,37,0.90807635,0.36601728,0.90807635,0.36601728,537.733753,0.74653888,381.2097747,0.16153747
andhra pradesh,vizianagaram,0,0.90740746,0,0,0.90740746,0,0.32824427,0,0.57916319,28,2,63,34,7,22,11,0,11,10,34,24,0.91095823,0.29357424,0.91095823,0.29357424,288.0923553,0.68235058,229.8621939,0.22860765
andhra pradesh,vizianagaram,0,0.32824427,1,0,0.90740746,0,0.32824427,0,0.57916319,28,2,63,34,7,22,11,0,11,10,34,24,0.91095823,0.29357424,0.91095823,0.29357424,288.0923553,0.68235058,229.8621939,0.22860765
andhra pradesh,west godavari,0,0.9245283,0,0,0.9245283,0,0.58461541,0,0.33991289,28,5,105,71,8,26,10,0,16,20,71,51,0.92009169,0.2901822,0.92009169,0.2901822,510.6030824,0.72533453,431.0881689,0.19475716
andhra pradesh,west godavari,0,0.58461541,1,0,0.9245283,0,0.58461541,0,0.33991289,28,5,105,71,8,26,10,0,16,20,71,51,0.92009169,0.2901822,0.92009169,0.2901822,510.6030824,0.72533453,431.0881689,0.19475716
andhra pradesh,y.s.r.,0,0.92592591,0,0,0.92592591,0,0.60144925,0,0.32447666,28,10,137,60,12,65,29,0,36,30,60,30,0.92616057,0.44724864,0.92616057,0.44724864,418.19803,0.65559912,309.0838252,0.27056146
andhra pradesh,y.s.r.,0,0.60144925,1,0,0.92592591,0,0.60144925,0,0.32447666,28,10,137,60,12,65,29,0,36,30,60,30,0.92616057,0.44724864,0.92616057,0.44724864,418.19803,0.65559912,309.0838252,0.27056146
arunachal pradesh,anjaw,0,0.90400004,0,0,0.90400004,0,0.77868855,0,0.12531149,,,,,,,,,,,,,0.9044109,0.24086092,0.9044109,0.24086092,0.669229005,0.7975238,1.498339011,0.1068871
arunachal pradesh,anjaw,0,0.77868855,1,0,0.90400004,0,0.77868855,0,0.12531149,,,,,,,,,,,,,0.9044109,0.24086092,0.9044109,0.24086092,0.669229005,0.7975238,1.498339011,0.1068871
